0;CT1;CVD
1;CT1_FILIAL;CT1_CONTA;CT1_DESC01;CT1_DESC02;CT1_DESC03;CT1_DESC04;CT1_DESC05;CT1_CLASSE;CT1_NORMAL;CT1_RES;CT1_BLOQ;CT1_DTBLIN;CT1_DTBLFI;CT1_DC;CT1_NCUSTO;CT1_CC;CT1_CVD02;CT1_CVD03;CT1_CVD04;CT1_CVD05;CT1_CVC02;CT1_CVC03;CT1_CVC04;CT1_CVC05;CT1_CTASUP;CT1_HP;CT1_ACITEM;CT1_ACCUST;CT1_ACCLVL;CT1_DTEXIS;CT1_DTEXSF;CT1_CTAVM;CT1_CTARED;CT1_CTALP;CT1_CTAPON;CT1_BOOK;CT1_GRUPO;CT1_AGLSLD;CT1_RGNV1;CT1_RGNV2;CT1_RGNV3;CT1_CCOBRG;CT1_ITOBRG;CT1_CLOBRG;CT1_TRNSEF;CT1_AGLUT;CT1_LALUR;CT1_CTLALU;CT1_TPLALU;CT1_LALHIR;CT1_RATEIO;CT1_ESTOUR;CT1_CODIMP;CT1_AJ_INF
1;  ;111300              ;Banco MN                                ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;111000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;111301              ;Union S.A MN - Cta. No.1-3046526        ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;111300              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;111302              ;Merc. Sta. Cruz MN - Cta. No.4010647483 ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;111300              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;111303              ;Economico S.A MN - Cta. No.1041-251557  ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;111300              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;111304              ;Merc. Sta. Cruz S.A MN-Cta No.4010670021;                                        ;                                        ;                                        ;                                        ;2;1;0000000003;2;        ;        ;9;             0;         ;1;1;1;1;1;1;1;1;111300              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111304              ;  ;2;      ; ;                    ; 
1;  ;111305              ;Economico S.A. Cta. No.1041256636       ;                                        ;                                        ;                                        ;                                        ;2;1;0000000004;2;        ;        ;4;             0;         ;1;1;1;1;1;1;1;1;111300              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111305              ;  ;2;      ; ;                    ; 
1;  ;111306              ;UNION S.A. MN -Cta. No.1-3573917        ;                                        ;                                        ;                                        ;                                        ;2;1;0000000015;2;        ;        ;0;             0;         ;1;1;1;1;1;1;1;1;111300              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;100000  ;2;            ;            ;            ;2;2;2;                    ; ;0;111306              ;  ;2;      ; ;                    ; 
1;  ;111400              ;Banco ME                                ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;111000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;111401              ;Union S.A ME - Cta. No.2-3046550        ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;111400              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;111402              ;Merc. Sta. Cruz ME - Cta. No.4010647501 ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;111400              ;   ; ; ; ;        ;        ;623001              ;111402              ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;111403              ;Economico S.A ME - Cta. No.1042-251542  ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;111400              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;111404              ;Merc. Sta. Cruz ME - Cta. No. 4010670069;                                        ;                                        ;                                        ;                                        ;2;1;0000000005;2;        ;        ;2;             0;         ;1;1;1;1;1;1;1;1;111400              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111404              ;  ;2;      ; ;                    ; 
1;  ;111405              ;Economico S.A. ME - 1042256621          ;                                        ;                                        ;                                        ;                                        ;2;1;0000000006;2;        ;        ;8;             0;         ;1;1;1;1;1;1;1;1;111400              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111405              ;  ;2;      ; ;                    ; 
1;  ;111406              ;Economico S.A. ME - Cta. No.1042-022874 ;                                        ;                                        ;                                        ;                                        ;2;1;0000000007;2;        ;        ;3;             0;         ;1;1;1;1;1;1;1;1;111400              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;111406              ;  ;2;      ; ;                    ; 
1;  ;111407              ;Merc. Sta. Cruz ME - Cta. No. 4010535096;                                        ;                                        ;                                        ;                                        ;2;1;0000000008;2;        ;        ;9;             0;         ;1;1;1;1;1;1;1;1;                    ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;100000  ;2;            ;            ;            ;2;2;2;                    ; ;0;111407              ;  ;2;      ; ;                    ; 
1;  ;111408              ;UNION S.A. ME - Cta. No.2-3573941       ;                                        ;                                        ;                                        ;                                        ;2;1;0000000016;2;        ;        ;4;             0;         ;1;1;1;1;1;1;1;1;111400              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;100000  ;2;            ;            ;            ;2;2;2;                    ; ;0;111408              ;  ;2;      ; ;                    ; 
1;  ;112000              ;CUENTAS POR COBRAR - EXIGIBLES          ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;110000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;112001              ;Cuentas por cobrar clientes - local     ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;112000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;112002              ;Cuentas por cobrar clientes - exportacio;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;112000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;112003              ;Cuentas por cobrar Canneros             ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;112000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;112004              ;Cuentas por cobrar a transportistas     ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;112000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;112005              ;Cheque en Garantia                      ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;112000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;112006              ;Anticipo a canneros                     ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;112000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;112007              ;Anticipo a transportistas               ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;112000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;112008              ;Otras cuentas por cobrar                ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;112000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;113000              ;DERECHOS TRIBUTARIOS                    ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;110000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;113001              ;Credito fiscal                          ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;113000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;113002              ;Credito fiscal anticipado               ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;113000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;113003              ;IUE pago a cuenta del IT                ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;113000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;113004              ;Credito fiscal comprometido - CEDEIM    ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;113000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;113005              ;Valores negociables                     ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;113000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;113006              ;Credito Fiscal - Exportacion            ;                                        ;                                        ;                                        ;                                        ;2;1;0000000022;2;        ;        ;4;             0;         ;1;1;1;1;1;1;1;1;113000              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;100000  ;2;            ;            ;            ;2;2;2;                    ; ;0;113006              ;  ;2;      ; ;                    ; 
1;  ;114000              ;ALMACEN DE PRODUCTOS                    ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;110000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;114001              ;Produccion terminada                    ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;114000              ;   ; ; ; ;        ;        ;624001              ;114001              ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;114002              ;Productos comprados o adquiridos        ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;114000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;114003              ;Produccion en proceso                   ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;114000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;114004              ;Productos en consignacion - AZUCAR      ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;114000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;114005              ;Productos en Transito                   ;                                        ;                                        ;                                        ;                                        ;2;1;0000000009;2;        ;        ;1;             0;         ;1;1;1;1;1;1;1;1;114000              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;        ;2;            ;            ;            ;2;2;2;                    ; ;0;114005              ;  ;2;      ; ;                    ; 
1;  ;115000              ;ALMACEN DE MATERIALES, REPUESTOS Y SUMIN;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;110000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;115001              ;Almacen de materiales, repuestos y sumin;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;115000              ;   ; ; ; ;        ;        ;624001              ;115001              ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;115002              ;Prevision para obsolescencia            ;                                        ;                                        ;                                        ;                                        ;2;2;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;115000              ;   ; ; ; ;        ;        ;624001              ;115002              ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116000              ;COSTOS DE PRODUCCION                    ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;110000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116100              ;Materiales e Insumos                    ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116101              ;Compra de canna                         ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116100              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116102              ;Envases                                 ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116100              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116103              ;Insumos directos                        ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116100              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116104              ;Otros insumos                           ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116100              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116200              ;Costos de Cosecha y Transporte          ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116201              ;Corte y Carguio Mecanizado              ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116200              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116202              ;Costo administrativo zafreros           ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116200              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116203              ;Corte y carguio manual                  ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116200              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116204              ;Carguio mecanizado                      ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116200              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116205              ;Costo de transporte de canna            ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116200              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116206              ;Transporte de zafreros                  ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116200              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116207              ;Viaticos a zafreros                     ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116200              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116208              ;Comision contratistas zafreros          ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116200              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116209              ;Aportes Federacion de Zafreros          ;                                        ;                                        ;                                        ;                                        ;2;1;0000000018;2;        ;        ;6;             0;         ;1;1;1;1;1;1;1;1;116200              ;   ;1;1;1;19800101;        ;                    ;                    ;                    ;                    ;                    ;100000  ;2;            ;            ;            ;2;2;2;                    ; ;0;116209              ;  ;2;      ; ;                    ; 
1;  ;116300              ;Costos Agricola y Ganaderos             ;                                        ;                                        ;                                        ;                                        ;1;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116000              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116301              ;Amortizacion labores agricolas          ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116300              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116302              ;Fertilizantes                           ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116300              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116303              ;Herbicidas e insecticidas               ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116300              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116304              ;Productos alimenticios para el ganado   ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116300              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
1;  ;116305              ;Atencion veterinaria y medicamentos     ;                                        ;                                        ;                                        ;                                        ;2;1;          ;2;        ;        ; ;             0;         ;1;1;1;1;1;1;1;1;116300              ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;100000  ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; 
