BRW_CODROL;BRW_DESROL;BRW_SUBGRU;BRW_GRUPO;BRW_CAPITU;BRW_OD;BRW_AMB;BRW_HCO;BRW_HSO;BRW_PAC;BRW_DUT;BRW_SEQROL
20101074;CONSULTA MÉDICA;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;;AMB;;;;;000019
20101082;CONSULTA MÉDICA;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;;AMB;;;;;000020
20101090;CONSULTA MÉDICA;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS;;AMB;;;;;000021
20101104;BIOIMPEDANCIOMETRIA;PROCEDIMENTOS;EXAMES ESPECÍFICOS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS;;AMB;HCO;HSO;;;000022
20101171;ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE RENAL;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;;HCO;HSO;;;000023
20101201;AVALIAÇÃO CLÍNICA E ELETRÔNICA DE PACIENTE PORTADOR DE MARCA-PASSO OU SINCRONIZADOR OU DESFIBRILADOR;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000024
20101210;ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE CÓRNEA;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;;HCO;HSO;;;000025
20101228;ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE MEDULA ÓSSEA;AVALIAÇÕES/ACOMPANHAMENTOS;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;;HCO;HSO;;;000026
20102011;HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALÓGICO OU DIGITAL;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;;;;;000027
20102020;HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALÓGICO OU DIGITAL;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;;;;;000028
20102038;MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL - MAPA (24 HORAS) - COM DIRETRIZ DE UTILIZAÇÃO;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;;;;1;000029
20102070;TESTE DE INCLINAÇÃO ORTOSTÁTICA (TILT TEST) - COM DIRETRIZ DE UTILIZAÇÃO;MONITORIZAÇÕES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;PAC;1;000030
20103018;ADAPTAÇÃO E TREINAMENTO DE RECURSOS ÓPTICOS;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;;;;;000031
20103026;AMPUTAÇÃO (PREPARAÇÃO DO COTO E TREINAMENTO PROTÉTICO);REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000032
20103034;AMPUTAÇÃO (PREPARAÇÃO DO COTO E TREINAMENTO PROTÉTICO);REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000033
20103042;AMPUTAÇÃO (PREPARAÇÃO DO COTO E TREINAMENTO PROTÉTICO);REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000034
20103050;AMPUTAÇÃO (PREPARAÇÃO DO COTO E TREINAMENTO PROTÉTICO);REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000035
20103069;REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000036
20103077;REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000037
20103093;REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000038
20103107;REABILITAÇÃO PERINEAL/VESICO-URETRAL COM OU SEM BIOFEEDBACK;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000039
20103131;BIOFEEDBACK COM EMG;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000040
20103140;BLOQUEIO COM TOXINA BOTULÍNICA TIPO A PARA TRATAMENTO DE DISTONIAS FOCAIS, ESPASMO HEMIFACIAL E ESPASTICIDADE (COM DIRETRIZ DE UTILIZAÇÃO);NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;;AMB;HCO;HSO;;1;000041
20103158;Lei nº 9656 de 3 de junho de 1998 - Que dispõe sobre os planos e seguros privados de assitência a saúde;;;;;;HCO;HSO;;;000042
20103166;Lei nº 9656 de 3 de junho de 1998 - Que dispõe sobre os planos e seguros privados de assitência a saúde;;;;;;HCO;HSO;;;000043
20103174;Lei nº 9656 de 3 de junho de 1998 - Que dispõe sobre os planos e seguros privados de assitência a saúde;;;;;;HCO;HSO;;;000044
20103182;REEDUCAÇÃO E REABILITAÇÃO TRAUMATO-ORTOPÉDICA (EXCLUI TÉCNICAS CINESIOTERÁPICAS ESPECÍFICAS);REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000045
20103190;REABILITAÇÃO PERINEAL/VESICO-URETRAL COM OU SEM BIOFEEDBACK;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000046
20103204;REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000047
20103212;REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA LINFÁTICO E/OU VASCULAR PERIFÉRICO;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000048
20103220;REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000049
20103239;EXERCÍCIOS DE ORTÓPTICA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;;;;;000050
20103247;REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000051
20103255;REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000052
20103263;REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000053
20103271;REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000054
20103280;REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000055
20103298;REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA MÚSCULO-ESQUELÉTICO POR DISTÚRBIOS CONGÊNITOS OU REUMÁTICOS;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000056
20103301;INFILTRAÇÃO DE PONTO GATILHO OU AGULHAMENTO SECO;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000057
20103310;REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000058
20103328;REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000059
20103344;REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000060
20103360;REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000061
20103379;REEDUCAÇÃO E REABILITAÇÃO CARDIOVASCULAR;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000062
20103387;REEDUCAÇÃO E REABILITAÇÃO CARDIOVASCULAR;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000063
20103395;REEDUCAÇÃO E REABILITAÇÃO CARDIOVASCULAR;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000064
20103409;REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000065
20103417;REEDUCAÇÃO E REABILITAÇÃO CARDIOVASCULAR;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000066
20103425;REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000067
20103433;REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000068
20103441;REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000069
20103450;REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000070
20103468;REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000071
20103476;REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000072
20103484;REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA MÚSCULO-ESQUELÉTICO POR DISTÚRBIOS CONGÊNITOS OU REUMÁTICOS;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000073
20103492;REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA MÚSCULO-ESQUELÉTICO POR DISTÚRBIOS CONGÊNITOS OU REUMÁTICOS;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000074
20103506;REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA MÚSCULO-ESQUELÉTICO POR DISTÚRBIOS CONGÊNITOS OU REUMÁTICOS;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000075
20103514;REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA MÚSCULO-ESQUELÉTICO POR DISTÚRBIOS CONGÊNITOS OU REUMÁTICOS;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000076
20103522;REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA MÚSCULO-ESQUELÉTICO POR DISTÚRBIOS CONGÊNITOS OU REUMÁTICOS;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000077
20103530;REEDUCAÇÃO E REABILITAÇÃO TRAUMATO-ORTOPÉDICA (EXCLUI TÉCNICAS CINESIOTERÁPICAS ESPECÍFICAS);REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000078
20103565;REEDUCAÇÃO E/OU REABILITAÇÃO NOS PROCESSOS INFLAMATÓRIOS PÉLVICOS;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000079
20103611;REEDUACAÇÃO E REABILITAÇÃO DE QUEIMADOS PARA PREVENÇÃO DE SEQUELAS;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000080
20103620;REEDUCAÇÃO E REABILITAÇÃO CARDIOVASCULAR;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000081
20103638;REABILITAÇÃO LABIRÍNTICA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000082
20103646;REABILITAÇÃO PERINEAL/VESICO-URETRAL COM OU SEM BIOFEEDBACK;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000083
20103654;REEDUCAÇÃO E/OU REABILITAÇÃO DE DISTÚRBIOS CRÂNIO-FACIAIS;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000084
20103662;REEDUCAÇÃO E REABILITAÇÃO TRAUMATO-ORTOPÉDICA (EXCLUI TÉCNICAS CINESIOTERÁPICAS ESPECÍFICAS);REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000085
20103670;REEDUCAÇÃO E REABILITAÇÃO TRAUMATO-ORTOPÉDICA (EXCLUI TÉCNICAS CINESIOTERÁPICAS ESPECÍFICAS);REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000086
20103689;REEDUCAÇÃO E REABILITAÇÃO NO RETARDO DO DESENVOLVIMENTO PSICOMOTOR;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000087
20103697;REABILITACAO E REEDUCACAO DE SEQÜELAS EM TRAUMATISMOS E POLITRAUMATIZADOS;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000088
20103700;REABILITACAO E REEDUCACAO DE SEQÜELAS EM TRAUMATISMOS E POLITRAUMATIZADOS;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000089
20103719;REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000090
20103727;REEDUCAÇÃO E REABILITAÇÃO CARDIOVASCULAR;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;HCO;HSO;;;000091
20103743;EXERCÍCIOS DE ORTÓPTICA;REABILITAÇÃO;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES;;AMB;;;;;000092
