BSP_CODSER;BSP_DESCRI;BSP_VLRSER;BSP_TIPSER;BSP_CONTA;BSP_CODLAN;BSP_CONTA1;BSP_COMISS;BSP_ATOCOO;BSP_INCIR;BSP_REGCIR;BSP_INCISS;BSP_REGCIS;BSP_INCCON;BSP_REGCCO;BSP_INCPIS;BSP_REGCPI;BSP_INCCSL;BSP_REGCCS;BSP_INCINS;BSP_REGCIN;BSP_REGCI1;BSP_TIPPE;BSP_COPCRE;BSP_CMPCUS
013;DESCONTO REFERENTE ARTIGO 12 DO CONTRATO;25;2;332189111102;131;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
014;DESCONTO REF REEMBOLSO DE EVENTOS;0;2;;131;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
015;DESCONTO PROMOCIONAL MENSALIDADE;0;2;45211911101;131;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
016;DESCONTO PROMOCIONAL SOS;4;2;45211911101;131;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
017;DESCONTO PROMOCIONAL PLANO MEDICAMENTO;1,6;2;45211911101;131;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
018;DESCONTO PROMOCIONAL PROTECAO FAMILIAR;2,5;2;45211911101;131;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
019;DESCONTO REFERENTE PCMSO;0;2;332119112101;130;;2;;0;;0;;0;;0;;0;;1;0.30;0.60;;; 
020;DESCONTO REFERENTE 2ª VIA CARTAO;5;2;33111911401;136;;;;;;0;;;;;;;;;;;;; 
021;DESCONTO DE TERAPIAS;0;2;;136;;;0;;;0;;;;;;;;;;;;; 
022;DESCONTO CANCELAMENTO PLANO MEDICAMENTO;1,6;2;332119712101;136;;;;;;0;;;;;;;;;;;;; 
023;DESCONTO REF RECEBIMENTO EM DUPLICIDADE;0;2;21888908812;131;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
024;DESCONTO DE TITULO PAGA A MAIOR;0;2;35211911101;131;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
025;COBRANCA DE TITULO PAGO A MENOR;0;1;12781901805;132;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
026;COBRANCA REFERENTE 2ª VIA DE CARTAO;5;1;33111911401;135;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
027;COBRANCA REFERENTE PARTE DE MENSALIDADE;0;1;;128;;;;0;;0;;0;;0;;0;;1;0.30;0.60;;; 
028;COBRANCA REFERENTE JUROS;0;1;35211911101;132;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
029;COBRANCA REFERENTE ARTIGO 12 DO CONTRATO;25;1;332189111102;132;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
030;COBRANCA REFERENTE EXAMES PRESTADOR;0;1;;128;;;;0;;0;;0;;0;;0;;1;0.30;0.60;;; 
031;COBRANCA REFERENTE MENSALIDADE;0;1;;128;;;;0;;0;;0;;0;;0;;1;0.30;0.60;;; 
032;COBRANCA REFERENTE SOS;4;1;332119711401;135;;2;;0;;0;;0;;0;;0;;0;;;;; 
033;COBRANCA REFERENTE PROTECAO NO TRABALHO;0;1;332119111102;135;;2;;0;;0;;0;;0;;0;;0;;;;; 
034;COBRANCA REF HONORARIO MEDICO/CONS;0;1;;113;;2;;1;1;0;;0;1;0;1;0;;1;1;1;;; 
035;COBRANCA TAXA DE SAUDE SUPLEMENTAR;0;1;46531911102;132;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
036;COBRANCA REFERENTE TAXA DE INSCRICAO;3;1;33111911201;135;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
037;COBRANCA REFERENTE PLANO MEDICAMENTOS;1,6;1;332119711106;135;;2;;0;;0;;0;;0;;0;;0;;;;; 
038;ARREDONDAMENTO;0;1;31111114101;132;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
039;COBRANCA DE ADICIONAL DE INTERCAMBIO;0;1;33217911201;135;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
040;COBRANCA REFERENTE TRANSPORTE AEROMEDICO;3,5;1;31111114101;135;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
041;COBRANCA PROCED S/ COB CONTRATUAL PREST;0;1;332119111104;113;;2;;1;1;0;;0;1;0;1;0;;1;1;1;;; 
042;COBRANCA REFERENTE PROTECAO FAMILIAR;2,5;1;332119711102;135;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
043;COBRANCA DE REMOCAO;0;1;332119111105;135;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
044;COBRANCA DE TERMO DE ACORDO;0;1;12771901101;132;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
045;COBRANCA PROCED USUARIO EM CARENCIA PREST;0;1;332119111103;113;;2;;1;1;0;;0;1;0;1;0;;1;1;1;;; 
046;COBRANCA REF CUSTO OPERACIONAL PRESTADOR;0;1;;113;;2;;1;1;0;;0;1;0;1;0;;1;1;1;;; 
047;COBRANCA REFERENTE DESPESA COM COBRANCA;0;1;44131911205;132;;;;;;;;;;;;;;;;;;; 
048;COBRANCA COMP REC. DUPLICIDADE/PG MENOR;0;1;12781901805;132;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
049;COBRANCA ANUIDADE ELABORACAO PCMSO;300;1;332119111601;135;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
050;COBRANCA DE JUROS MES ANTERIOR;0;1;35211911101;111;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;;2
051;COBRANCA DE MULTA MES ANTERIOR;0;1;35211911101;132;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;;2
052;COBRANCA PPP- PERFIL PROFIS. PREVIDENC;80;1;332119111601;135;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
053;COBRANCA REFERENTE TERAPIAS;0;1;;135;;2;0;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
054;COBRANCA MESALIDADE PCMSO;10;1;332119111601;128;;;1;0;;0;;0;;0;;0;;1;0.30;0.60;;; 
055;COBR REAJUSTE RETRO MAIO;0;1;;128;;;1;0;;0;;0;;0;;0;;1;0.30;0.60;A;; 
056;COBR REAJUSTE RETRO JUNHO;0;1;;128;;;;0;;0;;0;;0;;0;;1;0.30;0.60;A;; 
057;COBR REAJUSTE RETRO JULHO;0;1;;128;;;;0;;0;;0;;0;;0;;1;0.30;0.60;A;; 
058;COBRANCA ELABORACAO PPRA;0;1;332119111601;135;;2;1;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
059;COBRANCA ELABORACAO LTCAT;0;1;332119111601;135;;2;1;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
060;COBR REF CONSULTA SEM DESMARCACAO PREVIA;25;1;332189111102;132;;2;1;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
061;COBRANCA CONSULTA OCUPACIONAL;0;1;332119111601;113;;2;1;1;1;0;;0;1;0;1;0;;1;1;1;;; 
062;COBRANCA EXAMES OCUPACIONAIS PRINCIPAL;0;1;332119111602;113;;2;1;1;1;0;;1;1;1;1;0;;1;1;1;F;1; 
063;COBRANCA TAXA DE INSCRICAO UNIODONTO;5;1;21888908816;132;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
064;COBRANCA MENSALIDADE UNIODONTO;31,25;1;21888908816;132;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
065;DESCONTO ASSIT GF;1;2;332119712102;135;;2;1;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
066;COBRANCA ASSIST GF;1;1;332119711102;135;;2;2;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
067;COBRANCA EXAMES OCUPACIONAIS AUXILIAR;0;1;332119211602;135;;0;0;;0;;1;1;1;1;1;1;;0;0.00;0.00;J;2; 
068;DESCONTO DE EXAMES REDE CREDENCIADA;0;2;;136;;;0;;;0;;;;;;;;;;;;; 
069;COBRANCA REFERENTE EXAMES REDE CREDENCIA;0;1;;135;;2;0;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
070;COBRANCA PROCED S/ COB CONTRATUAL REDE C;0;1;;135;;2;0;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
071;COBRANCA PROCED USUARIO EM CARENCIA REDE;0;1;;135;;2;0;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
072;COBRANCA REF CUSTO OPERACIONAL REDE CRED;0;1;;135;;2;0;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
073;COBR ASSIT RESIDENCIAL;2;1;332119711108;135;;2;0;0;;0;;0;;0;;0;;0;0.00;0.00;A;; 
074;DESC ASSIT RESIDENCIAL;2;2;332119711108;136;;;2;;;0;;;;;;;;;;;;; 
075;DESCONTO OPCIONAL VIVER MAIS TRANQUILO;0;2;332119711110;136;;;0;;;0;;;;;;;;;;;;; 
076;COBRANCA OPCIONAL VIVER MAIS TRANQUILO;0;1;332119711110;135;;2;2;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
077;DESCONTO REF PLANO MEDICAMENTOS;0;2;332119712101;136;;;2;;;0;;;;;;;;;;;;; 
078;COBRANCA NOVO SOS PF - APPEND;8,5;1;332119711401;135;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
079;COBRANCA NOVO SOS PJ - APPEND;5,9;1;332119711401;135;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
080;COBRANCA NOVO SOS PF;8,5;1;332119711401;135;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
081;COBRANCA NOVO SOS PJ;5,9;1;332119711401;135;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
082;COBRANCA DE SOS - APPEND;0;1;332119711401;135;;2;;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
083;DESCONTO DE NOVO SOS;0;2;45211911101;136;;;;;;0;;;;;;;;;;;;; 
084;DESCONTO SALA DE OBS PRONTO SOCORRO;0;2;411111123013;136;;;1;;;0;;;;;;;;;;;;; 
085;DESC. DIFERENCA REAJUSTE DE MENSALIDADE;0;2;19111901202;130;;2;;0;;0;;0;;0;;0;;1;0.30;0.60;;; 
086;COBRANCA REFERENTE REAJUSTE RETROATIVO;0;1;;128;;;1;0;;0;;0;;0;;0;;1;0.30;0.60;A;; 
087;DESCONTO DE ADICIONAL DE INTERCAMBIO;0;2;33217911201;136;;;1;;;0;;;;;;;;;;;;; 
088;DESCONTO PROTECAO FAMILIAR;2,5;2;332119712102;136;;;2;;;0;;;;;;;;;;;;; 
089;DESCONTO DE FAIXA ETARIA;0;2;;130;;2;1;0;;0;;0;;0;;0;;1;0.30;0.60;;; 
090;DESCONTO SEGURO PROTECAO FAMILIAR;0;2;21888908814;136;;;1;;;0;;;;;;;;;;;A;; 
091;DESC REF CONSULTA SEM DESMARCACAO PREVIA;25;2;332189111102;131;;2;1;0;;0;;0;;0;;0;;0;0.00;0.00;;; 
092;DESCONTO REF PPP-PERFIL PROF PREVIDE;80;2;332119111101;136;;;1;;;0;;;;;;;;;;;;; 
093;DIFERENCA REAJUSTE DE MENSALIDADE;0;1;19111901202;190;;;1;;;;;;;;;;;1;0.30;0.60;;; 
094;BAIXA TITULOS USUARIOS CANCELADOS;0;2;;131;;;1;;;;;;;;;;;;;;;; 
095;BAIXA TITULOS USUARIOS INADIMPLENTES;0;2;;131;;;1;;;;;;;;;;;;;;;; 
096;BAIXA TITULOS USUARIOS MIGRADOS;0;2;;131;;;1;;;;;;;;;;;;;;;; 
