BVY_TAG550;BVY_DESTAG
nm_Hospital;NOME DO HOSPITAL
CNPJ_Fornecedor;NUMERO DO CNPJ DO FORNECEDOR
nm_FornecedorMatMed;NOME DO FORNECEDOR DO MATERIAL OU MEDICAMENTO
nr_NotaFiscalFornecedor;NUMERO DA NOTA FISCAL CASO FATURAMENTO DIRETO PARA O FORNECEDOR
det_RegistroAnvisa;DETENTOR DO REGISTRO NA ANVISA
cd_Referencia_Fab;CODIGO DE REFERENCIA DO MATERIAL NO FABRICANTE
dt_Nasc;DATA DE NASCIMENTO
tp_Sexo;SEXO DO BENEFICIARIO
idReembolso;IDENTIFICACAO DO REEMBOLSO AO BENEFICIARIO
dt_Reembolso;DATA DO REEMBOLSO AO BENEFICIARIO
id_ReemParInt;IDENTIFICACAO DO TIPO DE COBRANCA DE REEMBOLSO REFERENTE AO VALOR DO PAGAMENTO
cd_cnes;CODIGO NACIONAL DE ESTABELECIMENTO DE SAUDE
nomePrestador;NOME DO PRESTADOR
vl_a_restituir;VALOR A SER RESTITUIDO
vl_reemb_benef;VALOR REEMBOLSADO AO BENEFICIARIO
vl_pago_benef;VALOR PAGO PELO BENEFICIARIO
vl_pagoSUS;VALOR PAGO AO SUS
hash;HASH
dt_postagem;DATA E HORA DA POSTAGEM DO ARQUIVO
nr_protocolo;NUMERO DO PROTOCOLO NA CMB
