BVN_CDITEM;BVN_TISVER;BVN_TAG;BVN_CAMTAG;BVN_TPVLD;BVN_ALIAS;BVN_INDICE;BVN_CODTAB;BVN_DADEXP;BVN_CODOPE;BVN_PROPRI;BVN_CODGLO;BVN_BLCPRE;BVN_BLCPOS;BVN_GRPCND;BVN_TAGMSG;BVN_MSGAUX
0001;4.01.00;CODIGOPROCEDIMENTO;\;3;BR8;1,00;;IIF(BR8->(MSSEEK(XFILIAL('BR8')+CCODPAD+CCODPRO)) .AND. BR8->BR8_BENUTL <> '0',.T., PCHKTABDUP(CCODPAD,CCODPRO,[%\CODIGOTABELA%]));;X;27;;CTPPROC := BR8->BR8_TPPROC;;;'Tabela: '+AllTrim(cSlvPad)+' - Codigo: '+AllTrim(PVLRTAGXML(aDadosUnic, '\CODIGOPROCEDIMENTO'))+' - Descricao: ' + AllTrim(Posicione('BR8',1,xFilial('BR8')+cCodPad+cCodPro,'BR8_DESCRI'))
0001;4.01.00;CODIGOPROCEDIMENTO;\;3;;0,00;;IIF(ValType(ACODTAB)== 'A' .and. Len(ACODTAB)>0 .and. ACODTAB[1] ,!(LEN(ACOMPO) == 0),.T.);;X;30;;;;;'Tabela: '+AllTrim(cSlvPad)+' - Codigo: '+AllTrim(PVLRTAGXML(aDadosUnic, '\CODIGOPROCEDIMENTO'))+' - Descricao: ' + AllTrim(Posicione('BR8',1,xFilial('BR8')+cCodPad+cCodPro,'BR8_DESCRI')) + ' Data do Evento: '+dToc(dDatPro)
0001;4.01.00;GRAUPART;\EQUIPESADT\;3;;0,00;;IIF(ValType(ACODTAB)== 'A' .and. Len(ACODTAB)>0 .and. ACODTAB[1] .and. LEN(ACOMPO) > 0,PLSCHKGPA(COPEMOV,ACOMPO[1][15],CCODPAD,CCODPRO,CGRAUPAR,nil,DTOC(CDATA),.T.) ,.T.);;5;81;;;;;'Tabela: '+AllTrim(cSlvPad)+' - Codigo: '+AllTrim(cCodPro)+' - Descricao: ' + AllTrim(Posicione('BR8',1,xFilial('BR8')+cCodPad+cCodPro,'BR8_DESCRI')) + ' Data do Evento: '+dToc(dDatPro)
0002;4.01.00;GRAUPARTICIPACAO;\PROFISSIONAIS\;3;;0,00;;IIF(ValType(ACODTAB)== 'A' .and. Len(ACODTAB)>0 .and. ACODTAB[1] .and. LEN(ACOMPO) > 0,PLSCHKGPA(COPEMOV,ACOMPO[1][15],CCODPAD,CCODPRO,CGRAUPAR,nil,CDATA,.T.) ,.T.);;5;81;;;;;'Tabela: '+AllTrim(cSlvPad)+' - Codigo: '+AllTrim(cCodPro)+' - Descricao: ' + AllTrim(Posicione('BR8',1,xFilial('BR8')+cCodPad+cCodPro,'BR8_DESCRI')) + ' Data do Evento: '+dToc(dDatPro)
0003;4.01.00;GRAUPART;\IDENTEQUIPE\IDENTIFICACAOEQUIPE\;3;;0,00;;IIF(ValType(ACODTAB)== 'A' .and. Len(ACODTAB)>0 .and. ACODTAB[1] .and. LEN(ACOMPO) > 0,PLSCHKGPA(COPEMOV,ACOMPO[1][15],CCODPAD,CCODPRO,CGRAUPAR,nil,DTOC(CDATA),.T.) ,.T.);;5;81;;;;;'Tabela: '+AllTrim(cSlvPad)+' - Codigo: '+AllTrim(cCodPro)+' - Descricao: ' + AllTrim(Posicione('BR8',1,xFilial('BR8')+cCodPad+cCodPro,'BR8_DESCRI')) + ' Data do Evento: '+dToc(dDatPro)
0005;4.01.00;CODIGONAOPERADORA;\DADOSEXECUTANTE\;3;;0,00;;IIF (CTIPO == '2',PBusProfs([%\CODIGONAOPERADORA%],.T.),.T.);;X;26;;;;;'Codigo enviado: '+AllTrim(PVLRTAGXML(aDadosUnic, '\CODIGONAOPERADORA'))
0002;4.01.00;CODIGOPRESTADORNAOPERADORA;\CODPROFISSIONAL\;3;;0,00;;PBusProfs([%\CODIGOPRESTADORNAOPERADORA%],.F.);;X;39;;;;*;'Codigo do profissional enviado nao existe no Cadastro de profissionais ou o codigo: '+AllTrim(PVLRTAGXML(aDadosUnic, '\CODIGOPRESTADORNAOPERADORA'))+' pertence a uma outra RDA'+CHR(13)+CHR(10)+' - Nome Profissional: '+AllTrim(PVLRTAGXML(aDadosUnic, '\EQUIPESADT\NOMEPROF'))+' Codigo Profissional na Operadora: '+AllTrim(PVLRTAGXML(aDadosUnic, '\CODIGOPRESTADORNAOPERADORA'))+' Tabela: '+AllTrim(cSlvPad)+' - Codigo: '+AllTrim(cCodPro)+' - Descricao: '+AllTrim(Posicione('BR8',1,xFilial('BR8')+cCodPad+cCodPro,'BR8_DESCRI'))
0001;4.01.00;CPFCONTRATADO;\CODPROFISSIONAL\;3;;0,00;;PBusProfs([%\CPFCONTRATADO%],.F.);;X;39;;IIF (BB0->( FOUND() ), EVAL({|| CCODRP := BB0->BB0_CGC, CNOMRDA := BB0->BB0_NOME, CNOMPRE := BB0->BB0_NOME}),NIL);;*;'Nome Profissional: '+AllTrim(PVLRTAGXML(aDadosUnic, '\EQUIPESADT\NOMEPROF'))+' Codigo Profissional na Operadora: '+AllTrim(PVLRTAGXML(aDadosUnic, '\CPFCONTRATADO'))+' Tabela: '+AllTrim(cSlvPad)+' - Codigo: '+AllTrim(cCodPro)+' - Descricao: '+AllTrim(Posicione('BR8',1,xFilial('BR8')+cCodPad+cCodPro,'BR8_DESCRI'))
0001;4.01.00;CODIGOPROCEDIMENTO;\;3;;0,00;;IIF(ValType(ACODTAB) == 'A' .and. Len(ACODTAB) > 0, ACODTAB[1],.T.);;X;31;;;;;'Tabela: '+AllTrim(cSlvPad)+' - Codigo: '+AllTrim(cCodPro)+' - Descricao: ' + AllTrim(Posicione('BR8',1,xFilial('BR8')+cCodPad+cCodPro,'BR8_DESCRI')) + ' Data do Evento: '+dToc(dDatPro)
0001;4.01.00;DATAEXECUCAO;\;3;;0,00;;ARETPP[1] .OR. PLSUSRINTE(CMATRIC,DDATPRO,,,,,,.T.,.F.)[1] .OR. PLSCHGBL(CMATRIC, DDATPRO,CTIPO);;X;32;;;;DATAEXECUCAO;'Data Atendimento: '+dtoc(PLSAJUDAT(CDATA))
0002;4.01.00;DATAATENDIMENTO;\;3;;0,00;;ARETPP[1] .OR. PLSUSRINTE(CMATRIC,DDATPRO,,,,,,.T.,.F.)[1] .OR. PLSCHGBL(CMATRIC, DDATPRO,CTIPO);;X;32;;;;DATAATENDIMENTO;'Data Atendimento: '+dtoc(PLSAJUDAT(CDATA))
0001;4.01.00;REGISTROANS;\MENSAGEMTISS\CABECALHO\DESTINO\;3;;0,00;;!(CSLVOPE <> COPEMOV);;X;33;;;;;'Registro da ANS: '+PVLRTAGXML(aDadosUnic, 'CABECALHO\DESTINO\REGISTROANS')+' Operadora Padrao: ' + AllTrim(BA0->(Posicione('BA0',1,xFilial('BA0')+cOpeMov,'BA0_NOMINT'))) + ' Operadora Enviada: ' + AllTrim(BA0->(Posicione('BA0',1,xFilial('BA0')+cSlvOpe,'BA0_NOMINT')))
0001;4.01.00;CONSELHO;\;3;;0,00;;IIF(CTIPO == '1', !( EMPTY(CCRM)),.T.);;X;34;;;;;'Sigla do Conselho: '+AllTrim(cSigla)+' Numero do Conselho: '+AllTrim(cCrm)+' Uf do Conselho: '+AllTrim(cCodUf)
0001;4.01.00;CODIGOPROCEDIMENTO;\;3;;0,00;;IIF(CTIPO == '1', PLSISCON(CCODPAD,CCODPRO),.T.);;X;40;;;;;'Tabela: '+AllTrim(cSlvPad)+' - Codigo: '+AllTrim(cCodPro)+' - Descricao: '+AllTrim(Posicione('BR8',1,xFilial('BR8')+cCodPad+cCodPro,'BR8_DESCRI'))
0001;4.01.00;CARATERATENDIMENTO;\;2;BDR;0,00;23;;;X;41;;;;;'Carater de Atendimento invalido: '+ PVLRTAGXML(aDadosUnic, 'CARATERATENDIMENTO')
0001;4.01.00;CODIGOPROCEDIMENTO;\;3;;0,00;;IIF(CTIPGUI $ '02#05#06' .and. LFOUNDAUT , _PFoundPro(CTIPGUI,CCODPAD,CCODPRO,.F.,NRECNOAUT,CTPPROC) ,.T.);;X;37;;;;;'Tabela: '+AllTrim(cSlvPad)+' - Codigo: '+AllTrim(cCodPro) + ' Numero da senha enviada: '+AllTrim(cNumSen)
0003;4.01.00;CBOS;\EQUIPESADT\;3;;0,00;;;;X;39;;;;*;'Siga Conselho: '+AllTrim(cSigla)+' Codigo Conselho: '+AllTrim(cCrm)+' Estado Conselho: '+AllTrim(cCodUf)+' Nome Profissional: '+AllTrim(PVLRTAGXML(aDadosUnic, '\EQUIPESADT\NOMEPROF'))+' Codigo Profissional na Operadora: '+AllTrim(cCodRP)+' Tabela: '+AllTrim(cSlvPad)+' - Codigo: '+AllTrim(cCodPro)+' - Descricao: '+AllTrim(Posicione('BR8',1,xFilial('BR8')+cCodPad+cCodPro,'BR8_DESCRI'))
0001;4.01.00;DATAEXECUCAO;\;3;;0,00;;.T.;;X;42;;;;;'Tabela: '+AllTrim(cSlvPad)+' - Codigo: '+AllTrim(cCodPro)+' - Descricao: '+AllTrim(Posicione('BR8',1,xFilial('BR8')+cCodPad+cCodPro,'BR8_DESCRI'))
0001;4.01.00;REGIMEINTERNACAO;\;2;BQR;0,00;41;;;X;43;;;;;'Regime de Internacao invalido: '+PVLRTAGXML(aDadosUnic, 'REGIMEINTERNACAO')
0002;4.01.00;REGISTROANS;\MENSAGEMTISS\CABECALHO\ORIGEM\;3;;0,00;;!(CSLVOPE <> COPEMOV);;X;33;;;;;'Registro da ANS: '+PVLRTAGXML(aDadosUnic, 'CABECALHO\DESTINO\REGISTROANS')+' Operadora Padao: '+AllTrim(BA0->(Posicione('BA0',1,xFilial('BA0')+cOpeMov,'BA0_NOMINT'))) + ' Operadora Enviada: ' + AllTrim(BA0->(Posicione('BA0',1,xFilial('BA0')+cSlvOpe,'BA0_NOMINT')))
0001;4.01.00;CODIGOPROCEDIMENTO;\;3;;0,00;;IIF (LFOUNDAUT , _PFoundPro(CTIPGUI,CCODPAD,CCODPRO,.T.,NRECNOAUT,CTPPROC), .T.);;X;44;;;;;'Para este procedimento foi solicitada a pre-autorizaca mas nao foi autorizado pela operadora. Tabela: '+AllTrim(cSlvPad)+' - Codigo: '+AllTrim(PVLRTAGXML(aDadosUnic, '\CODIGOPROCEDIMENTO'))+' - Descricao: '+AllTrim(Posicione('BR8',1,xFilial('BR8')+cCodPad+cCodPro,'BR8_DESCRI')) +' Numero da senha enviada: '+AllTrim(cNumSen)
0001;4.01.00;QUANTIDADEEXECUTADA;\GUIASP_SADT\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\;3;;0,00;;PLQTDPRE();;X;28;;;;;'Tabela: '+AllTrim(cSlvPad)+' - Codigo: '+AllTrim(cCodPro)+' - Descricao: '+AllTrim(Posicione('BR8',1,xFilial('BR8')+cCodPad+cCodPro,'BR8_DESCRI'))+' Quantidade enviada: '+alltrim(str(nQtdPro))+' Numero da senha enviada: '+AllTrim(cNumSen)
0001;4.01.00;TIPOATENDIMENTO;\;2;BD5;0,00;50;;;5;44;;;;;'Tipo de Atendimento Invalido: '+PVLRTAGXML(aDadosUnic, 'TIPOATENDIMENTO')
0001;4.01.00;CODIGOPRESTADORNAOPERADORA;\ORIGEM\IDENTIFICACAOPRESTADOR\;3;BAW;1,00;;IIF(BAW->(MSSEEK(XFILIAL('BAW')+CRDAORI+COPEMOV)),PCHKVIGOPE(), .T.);;0;9G;;;;; 
0001;4.01.00;CODIGOPRESTADORNAOPERADORA;\ORIGEM\IDENTIFICACAOPRESTADOR\;3;BAW;1,00;;BAW->(MSSEEK(XFILIAL('BAW')+CRDAORI+COPEMOV));;5;11;;;01;;'Operadora do Prestador:' + AllTrim(cOpeMov) + ' Local de Atendimento:' + AllTrim(cCodLoc)
0002;4.01.00;CODIGOPRESTADORNAOPERADORA;\ORIGEM\IDENTIFICACAOPRESTADOR\;3;BAW;1,00;;BAW->(MSSEEK(XFILIAL('BAW')+CRDAORI+PLSINTPAD()));;5;11;;;01;;'Operadora do Prestador:' + AllTrim(cOpeMov) + ' Local de Atendimento:' + AllTrim(cCodLoc)
0001;4.01.00;TIPOFATURAMENTO;\DADOSINTERNACAO\;3;;0,00;;IIF (CTIPO == '3' .AND. !(CTIPGUI$'06'), !(EMPTY(PLSAJUDAT([%\DADOSINTERNACAO\DATAFINALFATURAMENTO%])) .AND. [%\DADOSINTERNACAO\TIPOFATURAMENTO%] == '4'), .T.);;5;61;;;;;'Tipo do Faturamento: TotalData da Alta: VAZIO'
0001;4.01.00;CODIGOPROCEDIMENTO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIASP_SADT\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\PROCEDIMENTO\;3;;0;;VLDQTDSER(CCODPRO, NQTDPRO,ACLASPROC);;X;53;;;;;
0002;4.01.00;CODIGOPROCEDIMENTO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIARESUMOINTERNACAO\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\PROCEDIMENTO\;3;;0;;VLDQTDSER(CCODPRO, NQTDPRO,ACLASPROC);;X;53;;;;;
0003;4.01.00;CODIGOPROCEDIMENTO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIACONSULTA\DADOSATENDIMENTO\PROCEDIMENTO\;3;;0;;VLDQTDSER(CCODPRO, NQTDPRO,ACLASPROC);;X;53;;;;;
0004;4.01.00;CODIGOPROCEDIMENTO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIAHONORARIOS\PROCEDIMENTOSREALIZADOS\PROCEDIMENTOREALIZADO\PROCEDIMENTO\;3;;0;;VLDQTDSER(CCODPRO, NQTDPRO,ACLASPROC);;X;53;;;;;
0005;4.01.00;QUANTIDADEEXECUTADA;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIASP_SADT\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\;3;;0;;PLVALPRSE(CCODPRO,CRDAORI, CMATRIC, DDATAPRCRE,  ACLASPROC,CTIPO,CCODPAD,CNUMIMP);;X;53;;;;;
0006;4.01.00;QUANTIDADEEXECUTADA;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIARESUMOINTERNACAO\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\;3;;0;;PLVALPRSE(CCODPRO,CRDAORI, CMATRIC, DDATAPRCRE,  ACLASPROC,CTIPO,CCODPAD,CNUMIMP);;X;53;;;;;
0007;4.01.00;CODIGOPROCEDIMENTO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIACONSULTA\DADOSATENDIMENTO\PROCEDIMENTO\;3;;0;;PLVALPRSE(CCODPRO,CRDAORI, CMATRIC, DDATAPRCRE,  ACLASPROC,CTIPO,CCODPAD,CNUMIMP);;X;53;;;;;
0008;4.01.00;CODIGOPROCEDIMENTO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIAHONORARIOS\PROCEDIMENTOSREALIZADOS\PROCEDIMENTOREALIZADO\PROCEDIMENTO\;3;;0;;PLVALPRSE(CCODPRO,CRDAORI, CMATRIC, DDATAPRCRE,  ACLASPROC,CTIPO,CCODPAD,CNUMIMP);;X;53;;;;;
0001;4.01.00;VALORUNITARIO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIASP_SADT\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\;3;;0;;VLDAPRXML(DDATAPRCRE,COPEMOV,CRDAORI,CCODLOC,CCODPAD,CCODPRO,NQTDPRO,CHORA,ADADUSR,CTIPO,CVALUNIT,CHORFIN);;X;54;;;;;
0002;4.01.00;VALORUNITARIO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIARESUMOINTERNACAO\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\;3;;0;;VLDAPRXML(DDATAPRCRE,COPEMOV,CRDAORI,CCODLOC,CCODPAD,CCODPRO,NQTDPRO,CHORA,ADADUSR,CTIPO,CVALUNIT,CHORFIN);;X;54;;;;;
0003;4.01.00;VALORPROCEDIMENTO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIACONSULTA\DADOSATENDIMENTO\TIPOCONSULTA\;3;;0;;VLDAPRXML(DDATAPRCRE,COPEMOV,CRDAORI,CCODLOC,CCODPAD,CCODPRO,NQTDPRO,CHORA,ADADUSR,CTIPO,CVALUNIT);;X;54;;;;;
0004;4.01.00;VALORUNITARIO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIAHONORARIOS\PROCEDIMENTOSREALIZADOS\PROCEDIMENTOREALIZADO\;3;;0;;VLDAPRXML(DDATAPRCRE,COPEMOV,CRDAORI,CCODLOC,CCODPAD,CCODPRO,NQTDPRO,CHORA,ADADUSR,CTIPO,CVALUNIT,CHORFIN);;X;54;;;;;
0001;4.01.00;REDUCAOACRESCIMO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIASP_SADT\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\;3;;0;;IIF (val(CREDACR) > 0, IIF (CTIPO $ '234',PLVLRDACRZ(),.T.), .F.);;X;57;;;;;PLCRIX57(1)
0002;4.01.00;REDUCAOACRESCIMO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIARESUMOINTERNACAO\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\;3;;0;;IIF (val(CREDACR) > 0, IIF (CTIPO $ '234',PLVLRDACRZ(),.T.), .F.);;X;57;;;;;PLCRIX57(2)
0003;4.01.00;REDUCAOACRESCIMO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIAHONORARIOS\PROCEDIMENTOSREALIZADOS\PROCEDIMENTOREALIZADO\;3;;0;;IIF (val(CREDACR) > 0, IIF (CTIPO $ '234',PLVLRDACRZ(),.T.), .F.);;X;57;;;;;PLCRIX57(3)
0004;4.01.00;REDUCAOACRESCIMO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIARESUMOINTERNACAO\OUTRASDESPESAS\DESPESA\SERVICOSEXECUTADOS\;3;;0;;IIF (val(CREDACR) > 0, IIF (CTIPO $ '234',PLVLRDACRZ(),.T.), .F.);;X;57;;;;;PLCRIX57(4)
0001;4.01.00;DATAATENDIMENTO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIACONSULTA\DADOSATENDIMENTO\;3;;0;;CDATA >= PLSDtX58() - GETNewPar('MV_PLSDTAT', 90);;X;58;;;;;'Existem guias com data de atendimento fora do prazo maximo para envio (' + Alltrim(Str(GetMv("MV_PLSDTAT"))) + ' dias).'
0002;4.01.00;DATAEXECUCAO;\MENSAGEMTISS\PRESTADORPARAOPERADORA\LOTEGUIAS\GUIASTISS\GUIASP_SADT\PROCEDIMENTOSEXECUTADOS\PROCEDIMENTOEXECUTADO\;3;;0;;CDATA >= PLSDtX58() - GETNewPar('MV_PLSDTAT', 90);;X;58;;;;;'Existem guias com data de atendimento fora do prazo maximo para envio (' + Alltrim(Str(GetMv("MV_PLSDTAT"))) + ' dias).'
