DE0_FILIAL|DE0_CODLAY|DE0_CODREG|DE0_STATUS|DE0_TAMREG|DE0_IDTREG|DE0_CODRCP|DE0_OCOREG|DE0_ALIAS|DE0_POSICI|DE0_POSORD|DE0_POSCHV|DE0_COND|DE0_VALID|DE0_NOMARQ|DE0_CTRTAM|DE0_CODQRY|DE0_CODRC2|DE0_CODRC3
  |NOTFIS|CON   |1|293|315|      |0|   | |  |                                                                                                    |                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                              |                                                                                                                         |1|      |      |      
  |NOTFIS|DEM   |1|288|311|      |0|DE5|1|1 |DE5_FILIAL+DE5_CGCREM+DE5_DOC+DE5_SERIE                                                             |                                                                                                                                                                                                                                                              |DE5->DE5_STATUS <> "2"                                                                                                                                                                                                                                        |                                                                                                                         |1|      |      |      
  |NOTFIS|DES   |1|290|312|      |0|   | |  |                                                                                                    |                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                              |                                                                                                                         |1|      |      |      
  |NOTFIS|DNF   |1|240|313|      |0|   | |  |                                                                                                    |                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                              |                                                                                                                         |1|      |      |      
  |NOTFIS|RED   |1|293|316|      |0|   | |  |                                                                                                    |                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                              |                                                                                                                         |1|      |      |      
  |NOTFIS|RPF   |1|276|317|      |0|   | |  |                                                                                                    |                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                              |                                                                                                                         |1|      |      |      
  |OCOREN|OEN   |1|120|342|      |0|DUA|2|1 |                                                                                                    |DUA->DUA_DATOCO>=MV_PAR07 .AND. DUA->DUA_DATOCO<=MV_PAR08                                                                                                                                                                                                     |IF(MV_PAR10 == 2,EMPTY(DUA->DUA_DATEDI),.T.) .AND. Posicione("DT2",1,xFilial("DT2")+DUA->DUA_CODOCO,"DT2_SERTMS")="3"  .AND.  Posicione("DT2",1,xFilial("DT2")+DUA->DUA_CODOCO,"DT2_TIPOCO")="01"                                                             |                                                                                                                         |1|      |      |      
  |OCOREN|TRA   |1|120|341|      |0|   |2|  |                                                                                                    |                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                              |                                                                                                                         |1|      |      |      
  |OCOREN|UNB   |1|120|000|      |0|   |2|  |                                                                                                    |                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                              |                                                                                                                         |1|      |      |      
  |OCOREN|UNH   |1|120|340|      |0|   |2|  |                                                                                                    |                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                              |                                                                                                                         |1|      |      |      
