BBB_CODSER;BBB_DESCRI;BBB_VLRSER;BBB_QTDCH;BBB_TIPSER;BBB_TIPOCT;BBB_INCIR;BBB_INCPLS;BBB_INCINS;BBB_INCPIS;BBB_IMPRES;BBB_INCCOF;BBB_INCCSL;BBB_VERBA;BBB_CODANT;BBB_CONTA;BBB_HISTC;BBB_CONMFT;BBB_CODPRO;BBB_DIRF;BBB_COPCRE;BBB_TIPPE;BBB_CODPLA;BBB_INCISS;BBB_CLASIP;BBB_TES
045;PROJETO NOSSA CRIANCA;0;0;1;1;0;0;0;0;1;0;0;;;;;1;;N;1;F;;0;; 
046;PRONTO ATENDIMENTO HOSPITAL;0;0;2;1;1;1;1;0;1;0;0;;;;;1;;A;1;F;;0;; 
047;RENDIMENTOS PAGO N/MES;0;0;1;1;0;0;0;0;1;0;0;;;;;1;;N;2;A;;0;; 
048;REPASSE;0;0;2;1;1;0;1;0;1;0;0;;;;;1;;A;1;F;;0;; 
049;S.O.S. REMOCAO;0;0;2;1;1;0;1;0;1;0;0;;;;;1;;A;1;F;;0;; 
050;SAL CONTRIBUICAO OUTRAS EMPRESAS;0;0;3;1;0;0;0;0;0;0;0;;;;;1;;N;1;F;;0;; 
051;SALDO DEVEDOR PROD. PRESTADOR;0;0;1;2;0;0;0;0;0;0;0;;;;;1;;N;2;A;;0;; 
052;SALDO DEVEDOR PRODUCAO;0;0;1;1;0;0;0;0;1;0;0;;;;;1;;N;1;F;;0;; 
053;SAUDE OCUPACIONAL;0;0;2;1;1;1;1;1;1;1;0;;;;;1;;A;1;F;;0;; 
054;SAUDE OCUPACIONAL (PREST);0;0;2;1;1;1;0;1;0;1;1;;;;;1;;A;2;A;;0;; 
055;SEGURO DE VIDA CONSELHEIROS;0;0;1;1;0;0;0;0;1;0;0;;;;;1;;N;1;F;;0;; 
056;SEGURO RESP. CIVIL;0;0;1;1;0;0;0;0;1;0;0;;;;;0;;N;1;F;;0;; 
057;SEGUROS SERIT MEDICOS;0;0;1;1;0;0;0;0;1;0;0;;;;;1;;N;1;F;;0;; 
058;SOBREAVISO DOMICILIAR;0;0;2;1;1;0;1;0;1;0;0;;;;;0;;A;1;F;;0;; 
059;SOBREVISO PROMOCAO SAUDE;0;0;2;1;1;0;1;0;1;0;0;;;;;0;;A;1;F;;0;; 
060;TAXA DE VIDEO/EQUIPAMENTO;0;0;2;1;1;0;1;0;1;0;0;;;;;1;;A;1;F;;0;; 
