BA9_CODDOE;BA9_DOENCA;BA9_ABREVI;BA9_RESTSE;BA9_CAUOBT;BA9_REFERE
A064;ABSCESSO AMEBIANO DO FIGADO;A06.4 ABSCESSO AMEBIANO D;;;
A065;ABSCESSO AMEBIANO DO PULMAO;A06.5 ABSCESSO AMEBIANO D;;;J99.8*
A066;ABSCESSO AMEBIANO DO CEREBRO;A06.6 ABSCESSO AMEBIANO D;;;G07*
A067;AMEBIASE CUTANEA;A06.7 AMEBIASE CUTANEA;;;
A068;INFECCAO AMEBIANA DE OUTRAS LOCALIZACOES;A06.8 INFECC AMEBIANA DE;;;
A069;AMEBIASE NAO ESPECIFICADA;A06.9 AMEBIASE NE;;;
A07;OUTRAS DOENCAS INTESTINAIS POR PROTOZOARIOS;A07 OUTR DOENC INTESTIN;;;
A070;BALANTIDIASE;A07.0 BALANTIDIASE;;;
A071;GIARDIASELAMBLIASE;A07.1 GIARDIASE;;;
A072;CRIPTOSPORIDIOSE;A07.2 CRIPTOSPORIDIOSE;;;
A073;ISOSPORIASE;A07.3 ISOSPORIASE;;;
A078;OUTRAS DOENCAS INTESTINAIS ESPECIFICADAS POR PROTOZOARIOS;A07.8 OUTR DOENC INTESTIN;;;
A079;DOENCA INTESTINAL NAO ESPECIFICADA POR PROTOZOARIOS;A07.9 DOENC INTESTINAL NE;;;
A08;INFECCOES INTESTINAIS VIRAISOUTRAS E AS NAO ESPECIFICADAS;A08 INFECC INTESTINAIS;;;
A080;ENTERITE POR ROTAVIRUS;A08.0 ENTERITE P ROTAVIRU;;;
A081;GASTROENTEROPATIA AGUDA PELO AGENTE DE NORWALK;A08.1 GASTROENTEROPATIA A;;;
A082;ENTERITE POR ADENOVIRUS;A08.2 ENTERITE P ADENOVIR;;;
A083;OUTRAS ENTERITES VIRAIS;A08.3 OUTR ENTERITES VIRA;;;
A084;INFECCAO INTESTINAL DEVIDA A VIRUS NAO ESPECIFICADO;A08.4 INFECC INTESTINAL D;;;
A085;OUTRAS INFECCOES INTESTINAIS ESPECIFICADAS;A08.5 OUTR INFECC INTESTI;;;
A09;DIARREIA E GASTROENTERITE DE ORIGEM INFECCIOSA PRESUMIVEL;A09 DIARREIA E GASTROEN;;;
A09;DIARREIA E GASTROENTERITE DE ORIGEM INFECCIOSA PRESUMIVEL;A09 DIARREIA E GASTROEN;;;
A15;TUBERCULOSE RESPIRATORIACOM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA;A15 TUBERC RESPIRAT C C;;;
A150;TUBERCULOSE PULMONARCOM CONFIRMACAO POR EXAME MICROSCOPICO DA EXPECTORACAOCOM OU SEM CULTURA;A15.0 TUBERC PULM C CONF;;;
A151;TUBERCULOSE PULMONARCOM CONFIRMACAO SOMENTE POR CULTURA;A15.1 TUBERC PULMONAR C C;;;
A152;TUBERCULOSE PULMONARCOM CONFIRMACAO HISTOLOGICA;A15.2 TUBERC PULMONAR C C;;;
A153;TUBERCULOSE PULMONARCOM CONFIRMACAO POR MEIO NAO ESPECIFICADO;A15.3 TUBERC PULMONAR C C;;;
A154;TUBERCULOSE DOS GANGLIOS INTRATORACICOSCOM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA;A15.4 TUBERC GANGL INTRAT;;;
A155;TUBERCULOSE DA LARINGEDA TRAQUEIA E DOS BRONQUIOSCOM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA;A15.5 TUBERC LARING TRAQ;;;
A156;PLEURIS TUBERCULOSOCOM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA;A15.6 PLEURIS TUBERC C CO;;;
A157;TUBERCULOSE PRIMARIA DAS VIAS RESPIRATORIASCOM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA;A15.7 TUBERC PRIM VIAS RE;;;
A158;OUTRAS FORMAS DE TUBERCULOSE DAS VIAS RESPIRATORIASCOM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA;A15.8 OUTR FORM TUBERC VI;;;
A159;TUBERCULOSE NAO ESPECIFICADA DAS VIAS RESPIRATORIASCOM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA;A15.9 TUBERC NE VIAS RESP;;;
A16;TUBERCULOSE DAS VIAS RESPIRATORIASSEM CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA;A16 TUBERC VIAS RESPIRA;;;
A160;TUBERCULOSE PULMONAR COM EXAMES BACTERIOLOGICO E HISTOLOGICO NEGATIVOS;A16.0 TUBERC PULMONAR C E;;;
A161;TUBERCULOSE PULMONARSEM REALIZACAO DE EXAME BACTERIOLOGICO OU HISTOLOGICO;A16.1 TUBERC PULMONAR S E;;;
A162;TUBERCULOSE PULMONARSEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA;A16.2 TUBERC PULMONAR S M;;;
A163;TUBERCULOSE DOS GANGLIOS INTRATORACICOSSEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA;A16.3 TUBERC GANGL INTRAT;;;
A164;TUBERCULOSE DA LARINGEDA TRAQUEIA E DOS BRONQUIOSSEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA;A16.4 TUBERC LARING TRAQ;;;
A165;PLEURISIA TUBERCULOSASEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA;A16.5 PLEURISIA TUBERC S;;;
A167;TUBERCULOSA RESPIRATORIA PRIMARIA SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA;A16.7 TUBERC RESPIR PRIM;;;
A168;OUTRAS FORMAS DE TUBERCULOSE DAS VIAS RESPIRATORIASSEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA;A16.8 OUTR TUBER VIA RESP;;;
A169;TUBERCULOSE RESPIRATORIANAO ESPECIFICADASEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA;A16.9 TUBERC RESPIRAT NE;;;
A17;TUBERCULOSE DO SISTEMA NERVOSO;A17 TUBERC DO SIST NERV;;;
A170;MENINGITE TUBERCULOSA;A17.0 MENINGITE TUBERC;;;G01*
A171;TUBERCULOMA MENINGEO;A17.1 TUBERCULOMA MENINGE;;;G07*
A178;OUTRAS TUBERCULOSES DO SISTEMA NERVOSO;A17.8 OUTR TUBERC DO SIST;;;
A179;TUBERCULOSE NAO ESPECIFICADA DO SISTEMA NERVOSO;A17.9 TUBERC NE DO SIST N;;;G99.8*
A18;TUBERCULOSE DE OUTROS ORGAOS;A18 TUBERC DE OUTR ORGA;;;
A180;TUBERCULOSE OSSEA E DAS ARTICULACOES;A18.0 TUBERC OSSEA E DAS;;;
A181;TUBERCULOSE DO APARELHO GENITURINARIO;A18.1 TUBERC DO APARELHO;;;
A182;LINFADENOPATIA TUBERCULOSA PERIFERICA;A18.2 LINFADENOPATIA TUBE;;;
A183;TUBERCULOSE DO INTESTINODO PERITONIO E DOS GANGLIOS MESENTERICOS;A18.3 TUBERC INTESTINO PE;;;
A184;TUBERCULOSE DE PELE E DO TECIDO CELULAR SUBCUTANEO;A18.4 TUBERC DE PELE E TE;;;
A185;TUBERCULOSE DO OLHO;A18.5 TUBERC DO OLHO;;;
A186;TUBERCULOSE DO OUVIDO;A18.6 TUBERC DO OUVIDO;;;
A187;TUBERCULOSE DAS SUPRA RENAIS;A18.7 TUBERC DAS SUPRA RE;;;E35.1*
A188;TUBERCULOSE DE OUTROS ORGAOS ESPECIFICADOS;A18.8 TUBERC DE OUTR ORGA;;;
A19;TUBERCULOSE MILIAR;A19 TUBERC MILIAR;;;
A190;TUBERCULOSE MILIAR AGUDA DE LOCALIZACAO UNICA E ESPECIFICADA;A19.0 TUBERC MILIAR AGUDA;;;
A191;TUBERCULOSE MILIAR AGUDA DE MULTIPLAS LOCALIZACOES;A19.1 TUBERC MILIAR AGUDA;;;
A192;TUBERCULOSE MILIAR AGUDA NAO ESPECIFICADA;A19.2 TUBERC MILIAR AGUDA;;;
A198;OUTRAS TUBERCULOSES MILIARES;A19.8 OUTR TUBERC MILIARE;;;
A199;TUBERCULOSE MILIAR NAO ESPECIFICADA;A19.9 TUBERC MILIAR NE;;;
A20;PESTE;A20 PESTE;;;
A200;PESTE BUBONICA;A20.0 PESTE BUBONICA;;;
A201;PESTE CELULOCUTANEA;A20.1 PESTE CELULOCUTANEA;;;
A202;PESTE PNEUMONICA;A20.2 PESTE PNEUMONICA;;;
A203;PESTE MENINGEA;A20.3 PESTE MENINGEA;;;
A207;PESTE SEPTICEMICA;A20.7 PESTE SEPTICEMICA;;;
A208;OUTRAS FORMAS DE PESTE;A20.8 OUTR FORM DE PESTE;;;
A209;PESTEFORMA NAO ESPECIFICADA;A20.9 PESTE FORM NE;;;
A21;TULAREMIA;A21 TULAREMIA;;;
A210;TULAREMIA ULCEROGLANDULAR;A21.0 TULAREMIA ULCEROGLA;;;
A211;TULAREMIA OCULOGLANDULAR;A21.1 TULAREMIA OCULOGLAN;;;
A212;TULAREMIA PULMONAR;A21.2 TULAREMIA PULMONAR;;;
A213;TULAREMIA GASTROINTESTINAL;A21.3 TULAREMIA GASTROINT;;;
A217;TULAREMIA GENERALIZADA;A21.7 TULAREMIA GENERALIZ;;;
A218;OUTRAS FORMAS DE TULAREMIA;A21.8 OUTR FORM DE TULARE;;;
A219;TULAREMIAFORMA NAO ESPECIFICADA;A21.9 TULAREMIA FORM NE;;;
A22;CARBUNCULO;A22 CARBUNCULO;;;
A220;CARBUNCULO CUTANEO;A22.0 CARBUNCULO CUTANEO;;;
A221;CARBUNCULO PULMONAR;A22.1 CARBUNCULO PULMONAR;;;
A222;CARBUNCULO GASTROINTESTINAL;A22.2 CARBUNCULO GASTROIN;;;
A227;SEPTICEMIA CARBUNCULOSA;A22.7 SEPTICEMIA CARBUNCU;;;
A228;OUTRAS FORMAS DE CARBUNCULO;A22.8 OUTR FORM DE CARBUN;;;
A229;CARBUNCULOFORMA NAO ESPECIFICADA;A22.9 CARBUNCULO FORM NE;;;
A23;BRUCELOSE;A23 BRUCELOSE;;;
A230;BRUCELOSE POR BRUCELLA MELITENSIS;A23.0 BRUCELOSE P BRUCELL;;;
A231;BRUCELOSE POR BRUCELLA ABORTUS;A23.1 BRUCELOSE P BRUCELL;;;
A232;BRUCELOSE POR BRUCELLA SUIS;A23.2 BRUCELOSE P BRUCELL;;;
A233;BRUCELOSE POR BRUCELLA CANIS;A23.3 BRUCELOSE P BRUCELL;;;
A238;OUTRAS BRUCELOSES;A23.8 OUTR BRUCELOSES;;;
A239;BRUCELOSE NAO ESPECIFICADA;A23.9 BRUCELOSE NE;;;
A24;MORMO E MELIOIDOSE;A24 MORMO E MELIOIDOSE;;;
A240;MORMO;A24.0 MORMO;;;
A241;MELIOIDOSE AGUDA E FULMINANTE;A24.1 MELIOIDOSE AGUDA E;;;
A242;MELIOIDOSE SUBAGUDA E CRONICA;A24.2 MELIOIDOSE SUBAGUDA;;;
A243;OUTRAS MELIOIDOSES;A24.3 OUTR MELIOIDOSES;;;
A244;MELIOIDOSE NAO ESPECIFICADA;A24.4 MELIOIDOSE NE;;;
A25;FEBRES TRANSMITIDAS POR MORDEDURA DE RATO;A25 FEBRES TRANSM P MOR;;;
A250;ESPIRILOSE;A25.0 ESPIRILOSE;;;
A251;ESTREPTOBACILOSE;A25.1 ESTREPTOBACILOSE;;;
A259;FEBRE TRANSMITIDA POR MORDEDURA DE RATOTIPO NAO ESPECIFICADO;A25.9 FEBRE TRANSM P MORD;;;
A26;ERISIPELOIDE;A26 ERISIPELOIDE;;;
A260;ERISIPELOIDE CUTANEO;A26.0 ERISIPELOIDE CUTANE;;;
A267;SEPTICEMIA POR ERYSIPELOTHRIX;A26.7 SEPTICEMIA P ERYSIP;;;
A268;OUTRAS FORMAS DE ERISIPELOIDE;A26.8 OUTR FORM DE ERISIP;;;
A269;ERISIPELOIDE NAO ESPECIFICADO;A26.9 ERISIPELOIDE NE;;;
A27;LEPTOSPIROSE;A27 LEPTOSPIROSE;;;
A270;LEPTOPIROSE ICTEROHEMORRAGICA;A27.0 LEPTOPIROSE ICTEROH;;;
A278;OUTRAS FORMAS DE LEPTOSPIROSE;A27.8 OUTR FORM DE LEPTOS;;;
A279;LEPTOSPIROSE NAO ESPECIFICADA;A27.9 LEPTOSPIROSE NE;;;
A28;OUTRAS DOENCAS BACTERIANAS ZOONOTICAS NAO CLASSIFICADAS EM OUTRA PARTE;A28 OUTR DOENC BACTER Z;;;
A280;PASTEURELOSE;A28.0 PASTEURELOSE;;;
A281;DOENCA POR ARRANHADURA DO GATO;A28.1 DOENC P ARRANHADURA;;;
A282;YERSINIOSE EXTRA INTESTINAL;A28.2 YERSINIOSE EXTRA IN;;;
A288;OUTRAS DOENCAS BACTERIANAS ZOONOTICAS ESPECIFICADAS NAO CLASSIFICADAS EM OUTRA PARTE;A28.8 OUTR DOENC BACTER Z;;;
A289;DOENCA BACTERIANA ZOONOTICA NAO ESPECIFICADA;A28.9 DOENC BACTER ZOONOT;;;
A30;HANSENIASEDOENCA DE HANSEN LEPRA;A30 HANSENIASE;;;
A300;HANSENIASELEPRAINDETERMINADA;A30.0 HANSENIASE INDETERM;;;
A301;HANSENIASELEPRATUBERCULOIDE;A30.1 HANSENIASE TUBERCUL;;;
A302;HANSENIASELEPRATUBERCULOIDE BORDERLINE;A30.2 HANSENIASE TUBERCUL;;;
A303;HANSENIASELEPRADIMORFA;A30.3 HANSENIASE DIMORFA;;;
A304;HANSENIASELEPRALEPROMATOSA BORDERLINE;A30.4 HANSENIASE LEPROMAT;;;
A305;HANSENIASELEPRALEPROMATOSA;A30.5 HANSENIASE LEPROMAT;;;
A308;OUTRAS FORMAS DE HANSENIASELEPRA;A30.8 OUTR FORM DE HANSEN;;;
A309;HANSENIASELEPRANAO ESPECIFICADA;A30.9 HANSENIASE NE;;;
A31;INFECCOES DEVIDAS A OUTRAS MICOBACTERIAS;A31 INFECC DEV OUTR MIC;;;
A310;INFECCAO PULMONAR MICOBACTERIANA;A31.0 INFECC PULMONAR MIC;;;
A311;INFECCAO CUTANEA MICOBACTERIANA;A31.1 INFECC CUTANEA MICO;;N;
A318;OUTRAS INFECCOES MICOBACTERIANAS;A31.8 OUTR INFECC MICOBAC;;;
A319;INFECCAO MICOBACTERIANA NAO ESPECIFICADA;A31.9 INFECC MICOBACTERIA;;;
A32;LISTERIOSELISTERIASE;A32 LISTERIOSE;;;
A320;LISTERIOSE CUTANEA;A32.0 LISTERIOSE CUTANEA;;;
A321;MENINGITE E MENINGOENCEFALITE POR LISTERIA;A32.1 MENINGITE E MENINGO;;;
A327;SEPTICEMIA LISTERIOTICA;A32.7 SEPTICEMIA LISTERIO;;;
A328;OUTRAS FORMAS DE LISTERIOSE;A32.8 OUTR FORM DE LISTER;;;
A329;LISTERIOSE NAO ESPECIFICADA;A32.9 LISTERIOSE NE;;;
A33;TETANO DO RECEM NASCIDONEONATAL;A33 TETANO DO RECEM NAS;;;
A33;TETANO DO RECEM NASCIDONEONATAL;A33 TETANO DO RECEM NAS;;;
A34;TETANO OBSTETRICO;A34 TETANO OBSTETRICO;;;
A34;TETANO OBSTETRICO;A34 TETANO OBSTETRICO;F;;
A35;OUTROS TIPOS DE TETANO;A35 OUTR TIPOS DE TETAN;;;
A35;OUTROS TIPOS DE TETANO;A35 OUTR TIPOS DE TETAN;;;
A36;DIFTERIA;A36 DIFTERIA;;;
A360;DIFTERIA FARINGEA;A36.0 DIFTERIA FARINGEA;;;
A361;DIFTERIA NASOFARINGEA;A36.1 DIFTERIA NASOFARING;;;
A362;DIFTERIA LARINGEA;A36.2 DIFTERIA LARINGEA;;;
A363;DIFTERIA CUTANEA;A36.3 DIFTERIA CUTANEA;;;
A368;OUTRAS FORMAS DE DIFTERIA;A36.8 OUTR FORM DE DIFTER;;;
A369;DIFTERIA NAO ESPECIFICADA;A36.9 DIFTERIA NE;;;
A37;COQUELUCHE;A37 COQUELUCHE;;;
A370;COQUELUCHE POR BORDETELLA PERTUSSIS;A37.0 COQUELUCHE P BORDET;;;
A371;COQUELUCHE POR BORDETELLA PARAPERTUSSIS;A37.1 COQUELUCHE P BORDET;;;
A378;COQUELUCHE POR OUTRAS ESPECIES DA BORDETELLA;A37.8 COQUELUCHE P OUTR E;;;
A379;COQUELUCHE NAO ESPECIFICADA;A37.9 COQUELUCHE NE;;;
A38;ESCARLATINA;A38 ESCARLATINA;;;
A38;ESCARLATINA;A38 ESCARLATINA;;;
A39;INFECCAO MENINGOGOCICA;A39 INFECC MENINGOGOCIC;;;
A390;MENINGITE MENINGOCOCICA;A39.0 MENINGITE MENINGOCO;;;G01*
A391;SINDROME DE WATERHOUSE FRIDERICHSEN;A39.1 SINDR DE WATERHOUSE;;;E35.1*
A392;MENINGOCOCCEMIA AGUDA;A39.2 MENINGOCOCCEMIA AGU;;;
A393;MENINGOCOCCEMIA CRONICA;A39.3 MENINGOCOCCEMIA CRO;;;
A394;MENINGOCOCCEMIA NAO ESPECIFICADA;A39.4 MENINGOCOCCEMIA NE;;;
A395;CARDITE POR MENINGOCOCOS;A39.5 CARDITE P MENINGOCO;;;
A398;OUTRAS INFECCOES POR MENINGOCOCOS;A39.8 OUTR INFECC P MENIN;;;
A399;INFECCAO MENINGOCOCICA NAO ESPECIFICADA;A39.9 INFECC MENINGOCOCIC;;;
A40;SEPTICEMIA ESTREPTOCOCICA;A40 SEPTICEMIA ESTREPTO;;;
A400;SEPTICEMIA POR STREPTOCOCCUS DO GRUPO A;A40.0 SEPTICEMIA P STREPT;;;
A401;SEPTICEMIA POR STREPTOCOCCUS DO GRUPO B;A40.1 SEPTICEMIA P STREPT;;;
A402;SEPTICEMIA POR STREPTOCOCCUS DO GRUPO D;A40.2 SEPTICEMIA P STREPT;;;
A403;SEPTICEMIA POR STREPTOCOCCUS PNEUMONIA;A40.3 SEPTICEMIA P STREPT;;;
A408;OUTRAS SEPTICEMIAS ESTREPTOCOCICAS;A40.8 OUTR SEPTICEMIAS ES;;;
A409;SEPTICEMIA ESTREPTOCOCICA NAO ESPECIFICADA;A40.9 SEPTICEMIA ESTREPTO;;;
A41;OUTRAS SEPTICEMIAS;A41 OUTR SEPTICEMIAS;;;
A410;SEPTICEMIA POR STAPHYLOCOCCUS AUREUS;A41.0 SEPTICEMIA P STAPHY;;;
A411;SEPTICEMIA POR OUTROS ESTAFILOCOCOS ESPECIFICADOS;A41.1 SEPTICEMIA P OUTR E;;;
A412;SEPTICEMIA POR ESTAFILOCOCOS NAO ESPECIFICADOS;A41.2 SEPTICEMIA P ESTAFI;;;
A413;SEPTICEMIA POR HAEMOPHILUS INFLUENZAE;A41.3 SEPTICEMIA P HAEMOP;;;
A414;SEPTICEMIA POR ANAEROBIOS;A41.4 SEPTICEMIA P ANAERO;;;
A415;SEPTICEMIA POR OUTROS MICROORGANISMOS GRAM NEGATIVOS;A41.5 SEPTICEMIA P OUTR M;;;
A418;OUTRAS SEPTICEMIAS ESPECIFICADAS;A41.8 OUTR SEPTICEMIAS ES;;;
A419;SEPTICEMIA NAO ESPECIFICADA;A41.9 SEPTICEMIA NE;;;
A42;ACTINOMICOSE;A42 ACTINOMICOSE;;;
A420;ACTINOMICOSE PULMONAR;A42.0 ACTINOMICOSE PULMON;;;
A421;ACTINOMICOSE ABDOMINAL;A42.1 ACTINOMICOSE ABDOMI;;;
A422;ACTINOMICOSE CERVICOFACIAL;A42.2 ACTINOMICOSE CERVIC;;;
A427;SEPTICEMIA ACTINOMICOTICA;A42.7 SEPTICEMIA ACTINOMI;;;
A428;OUTRAS FORMAS DE ACTINOMICOSE;A42.8 OUTR FORM DE ACTINO;;N;
A429;ACTINOMICOSE NAO ESPECIFICADA;A42.9 ACTINOMICOSE NE;;;
A43;NOCARDIOSE;A43 NOCARDIOSE;;;
A430;NOCARDIOSE PULMONAR;A43.0 NOCARDIOSE PULMONAR;;;
A431;NOCARDIOSE CUTANEA;A43.1 NOCARDIOSE CUTANEA;;;
A438;OUTRAS FORMAS DE NOCARDIOSE;A43.8 OUTR FORM DE NOCARD;;;
A439;NOCARDIOSE NAO ESPECIFICADA;A43.9 NOCARDIOSE NE;;;
A44;BARTONELOSE;A44 BARTONELOSE;;;
A440;BARTONELOSE SISTEMICA;A44.0 BARTONELOSE SISTEMI;;;
A441;BARTONELOSE CUTANEA E CUTANEO MUCOSA;A44.1 BARTONELOSE CUTANEA;;;
A448;OUTRAS FORMAS DE BARTONELOSE;A44.8 OUTR FORM DE BARTON;;;
A449;BARTONELOSE NAO ESPECIFICADA;A44.9 BARTONELOSE NE;;;
A46;ERISIPELA;A46 ERISIPELA;;;
A46;ERISIPELA;A46 ERISIPELA;;;
A48;OUTRAS DOENCAS BACTERIANAS NAO CLASSIFICADAS EM OUTRA PARTE;A48 OUTR DOENC BACTER N;;;
A480;GANGRENA GASOSA;A48.0 GANGRENA GASOSA;;;
A481;DOENCA DOS LEGIONARIOS;A48.1 DOENC DOS LEGIONARI;;;
A482;DOENCA DOS LEGIONARIOS NAO PNEUMONICAFEBRE DE PONTIAC;A48.2 DOENC DOS LEGIONARI;;;
A483;SINDROME DO CHOQUE TOXICO;A48.3 SINDR DO CHOQUE TOX;;;
A484;FEBRE PURPURICA DO BRASIL;A48.4 FEBRE PURPURICA DO;;;
A488;OUTRAS DOENCAS BACTERIANAS ESPECIFICADAS;A48.8 OUTR DOENC BACTER E;;;
A49;INFECCAO BACTERIANA DE LOCALIZACAO NAO ESPECIFICADA;A49 INFECC BACTER DE LO;;;
A490;INFECCAO ESTAFILOCOCICA DE LOCALIZACAO NAO ESPECIFICADA;A49.0 INFECC ESTAFILOCOCI;;;
A491;INFECCAO ESTREPTOCOCICA DE LOCALIZACAO NAO ESPECIFICADA;A49.1 INFECC ESTREPTOCOCI;;;
A492;INFECCAO POR HAEMOPHILUS INFLUENZAE DE LOCALIZACAO NAO ESPECIFICADA;A49.2 INFECC P HAEMOPHILU;;;
A493;INFECCAO POR MYCOPLASMA DE LOCALIZACAO NAO ESPECIFICADA;A49.3 INFECC P MYCOPLASMA;;;
A498;OUTRAS INFECCOES BACTERIANAS DE LOCALIZACAO NAO ESPECIFICADA;A49.8 OUTR INFECC BACTERI;;;
A499;INFECCAO BACTERIANA NAO ESPECIFICADA;A49.9 INFECC BACTER NE;;;
A50;SIFILIS CONGENITA;A50 SIFILIS CONGEN;;;
A500;SIFILIS CONGENITA PRECOCE SINTOMATICA;A50.0 SIFILIS CONGEN PREC;;;
A501;SIFILIS CONGENITA PRECOCEFORMA LATENTE;A50.1 SIFILIS CONGEN PREC;;;
A502;SIFILIS CONGENITA PRECOCE NAO ESPECIFICADA;A50.2 SIFILIS CONGEN PREC;;;
A503;OCULOPATIA SIFILITICA CONGENITA TARDIA;A50.3 OCULOPATIA SIFILITI;;;
