BCT_CODOPE;BCT_PROPRI;BCT_CODGLO;BCT_DESCRI;BCT_TIPO;BCT_USO;BCT_ATIVO;BCT_RESOBR;BCT_MOTOBR;BCT_PERFOR;BCT_LOCANA;BCT_LIBESP;BCT_CODEDI;BCT_CODED2;BCT_PROT;BCT_POS;BCT_WEB;BCT_COMONL;BCT_CODNIV;BCT_AUDITO;BCT_GLTISS;BCT_DESTIS;BCT_NIVEL;BCT_RECGER;BCT_EDI550;BCT_ENVCOX;BCT_ATIUPL
0001;0;27;Para este procedimento devera ser efetuado o pagamento do procedimento no ato da emissao da guia;1;3;1;0;;0;1;0;;;;;;;;;9905;DEVERA SER EFETUADO O PAGAMENTO DO SERVICO NA OPERADORA;2;;;;
0001;0;28;Procedimento incompativel com um dos procedimentos da guia;1;3;1;0;;1;3;1;;;1;1;1;;;;9911;SERVICO INCOMPATIVEL COM OUTRO(S) DA MESMA GUIA;2;;;;
0001;0;29;Cid incompativel com um dos procedimentos da guia;1;3;1;0;;0;3;0;;;;;;;;;9912;CID INCOMPATIVEL COM UM DOS SERVICOS DA GUIA;2;;;;
0001;0;30;Procedimento bloqueado pela Operadora para atendimento.;1;3;1;0;;0;1;1;;;;;;;;;9901;SERVICO BLOQUEADO PELA OPERADORA - NAO PERMITIDO UTILIZAR;2;;;;
0001;0;31;Limite de CH por guia emitida ultrapassado conforme parametrizacao feita no subcontrato.;1;3;1;0;;1;1;1;;;;;;;;;9913;LIMITE CH ULTRAPASSADO. AUTORIZ. EMPRESA E GUIA OPERADORA;1;;;;
0001;0;32;A Rede de Atendimento nao pode atender a usuarios deste produto.;1;3;1;0;;0;3;;;;1;1;1;;;;1899;OUTROS;2;;;;
0001;0;33;Data limite de atendimento informado na familia ultrapassado;1;3;1;0;;0;3;;;;1;1;1;;;;1799;OUTROS;2;;;;
0001;0;34;Procedimento invalido para lancamentos como eventos (analitico/sintetico);1;3;1;0;;0;3;0;;;;;;;;;1899;OUTROS;2;;;;
0001;0;35;Usuario nao possui cobertura para este procedimento.;1;2;1;0;;0;1;1;;;;;;;;;1407;SERVICO SOLICITADO NAO POSSUI COBERTURA;2;;;;
0001;0;36;Foi ultrapassado o limite de CH parametrizado para autorizacao de intercambio eventual on-line.;1;3;1;0;;0;1;1;;;;;;;;;9903;SERVICO COM CH MAIOR 300. ENCAMINHAR A OPERADORA;2;;;;
0001;0;37;Data de validade do cartao do usuario vencido.;1;3;1;0;;0;3;;;;1;1;1;;;;1799;OUTROS;2;;;;
0001;0;38;Produto do usuario nao permite atendimento por esta Rede de Atendimento.;1;3;0;0;;0;1;0;;;;;;;;;9914;SEM COBERTURA PARA ESTE SERVICO NO PRESTADOR INFORMADO;2;;;;
0001;0;39;Via de cartao magnetico nao existente.;1;3;1;0;;1;1;1;;;1;1;1;;;;1021;VIA DE CARTAO DO BENEFICIARIO NAO LIBERADA;2;;;;
0001;0;40;Via de cartao magnetico bloqueada.;1;3;1;0;;0;3;;;;1;1;1;;;;1899;OUTROS;2;;;;
0001;0;41;Via de cartao magnetico vencida.;1;3;0;0;;0;3;1;;;1;1;1;;;;1017;DATA VALIDADE DA CARTEIRA VENCIDA;2;;;;
0001;0;42;Via de cartao magnetico invalida.;1;3;0;0;;0;3;1;;;1;1;1;;;;1022;VIA DE CARTAO DO BENEFICIARIO NAO COMPATIVEL;2;;;;
0001;0;44;Nao existe calendario de pagamento para a data do evento informada OU nao existe U.S mensais para o calendario de pagame;1;3;1;0;;0;3;;;;1;1;1;;;;1799;OUTROS;2;;;;
0001;0;47;Especialidade bloqueada para esta RDA.;1;3;1;0;;0;3;0;;;1;1;1;;;;1217;ESPECIALIDADE NAO CADASTRADA PARA O PRESTADOR;2;;;;
0001;0;48;Local de Atendimento bloqueado para esta RDA.;1;3;1;0;;0;3;0;;;;;;;;;1212;ATEND/REFERENC FORA VIGENCIA DO CONTR PRESTADOR;2;;;;
0001;0;49;Data limite para recebimento de guias de intercambio vencida.;1;3;1;0;;0;3;;;;1;1;1;;;;1799;OUTROS;2;;;;
0001;0;50;Abrangencia de atendimento nao permitida para este produto.;1;3;0;0;;0;3;0;;;1;1;1;;;;1215;CREDENCIADO FORA DA ABRANGENCIA GEOGRAFICA DO PLANO;2;;;;
0001;0;52;Evento cobrado pela operadora destino nao foi pre-autorizado.;1;3;1;0;;0;3;0;;;1;1;1;;;;9906;CRITICA ESPECIFICA;2;;;;
0001;0;53;A quantidade autorizada e diferente da quantidade apresentada/cobrada pela operadora destino.;1;3;1;0;;0;3;0;;;1;1;1;;;;1820;COBRANCA EM QTD ACIMA DA MAXIMA PERMITIDA /AUTORIZADA;2;;;;
0001;0;54;O usuario autorizado e diferente do usuario que esta sendo cobrado pela operadora destino.;1;3;1;0;;0;1;0;;;1;1;1;;;;1899;OUTROS;2;;;;
0001;0;55;A Data/Hora autorizada e diferente da Data/Hora apresentada/cobrada pela operadora destino.;1;3;0;0;;0;3;0;;;1;1;1;;;;1899;OUTROS;2;;;;
0001;0;56;A guia que foi autorizada para a operadora destino nao foi cobrada portanto nao sera paga.;1;3;1;0;;0;3;0;;;1;1;1;;;;1899;OUTROS;2;;;;
0001;0;57;Usuario importado invalido. Deve ser alterado o usuario para o correto ou glosada a nota.;1;3;1;0;;0;3;0;;;1;1;1;;;;1001;NUMERO DA CARTEIRA INVALIDO;2;;;;
0001;0;60;Operadora do usuario bloqueada para atendimento em intercambio.;1;3;1;0;;0;3;1;;;1;1;1;;;;9908;ATEND. SUSPENSO. ENCAMINHAR USUARIO P/ OPERADORA;2;;;;
0001;0;61;Glosa de taxa administrativa, devido a data limite para recebimento de faturas de intercambio.;1;3;1;0;;0;3;0;;;1;1;1;;;;2999;OUTROS;2;;;;
0001;0;62;Procedimento nao existente na liberacao de origem.;1;3;0;0;;0;3;0;;;1;1;1;;;;1403;INFORMACAO INEXISTENTE DA SENHA AUTORIZACAO PROCEDIMENT;2;;;;
0001;0;63;Participacao de servico informada invalida.;1;3;1;0;;0;3;0;;;1;1;1;;;;2699;OUTROS;2;;;;
0001;0;66;Evento de alto custo. O valor a ser cobrado/pago deve ser analisado.;1;3;1;0;;0;3;;;;1;1;1;;;;1899;OUTROS;2;;;;
0001;0;67;Evento de alto custo. NF de Entrada nao foi localizada. O valor a ser cobrado/pago deve ser atualizado manualmente.;1;3;1;0;;0;3;;;;1;1;1;;;;1899;OUTROS;2;;;;
0001;0;68;Evento de alto custo. Valor ja foi pago atraves da NF de Entrada.;1;3;1;0;;0;3;;;;1;1;1;;;;1899;OUTROS;2;;;;
0001;0;69;Quantidade de diarias pre-autorizadas diferente da quantidade de diarias contidas na guia.;1;3;1;0;;0;3;;;;1;1;1;;;;1899;OUTROS;2;;;;
0001;0;70;Codigo de diaria contido na guia nao localizado na autorizacao de origem.;1;3;1;0;;0;1;;;;1;1;1;;;;1899;OUTROS;2;;;;
0001;0;73;Quantidade solicitada de procedimentos menor que a quantidade autorizada;1;3;1;0;;0;3;;;;1;1;1;;;;1499;OUTROS;2;;;;
0001;0;77;Quantidade solicitada nao permitida devido ao grupo de quantidade cadastrado.;1;3;1;0;;0;3;;;;1;1;1;;;;1423;QUANTIDADE SOLICITADA ACIMA DA QUANTIDADE PERMITIDA;2;;;;
0001;0;78;Quantidade maior que o limite permitido na parametrizacao na tabela padrao.;1;3;1;0;;0;3;0;;;1;1;1;;;;1423;QUANTIDADE SOLICITADA ACIMA DA QUANTIDADE PERMITIDA;2;;;;
0001;0;79;Item da liberacao nao solicitado;1;3;1;0;;0;3;;;;1;1;1;;;;1499;OUTROS;2;;;;
0001;0;82;Item da liberacao ja executado;1;3;1;0;;0;3;;;;1;1;1;;;;1499;OUTROS;2;;;;
0001;0;83;Item com quantidade maior que a solicitada;1;3;1;0;;0;3;;;;1;1;1;;;;1499;OUTROS;2;;;;
0001;0;84;Resumo de internacao sem previa Solicitacao;1;3;1;0;;0;3;;;;1;1;1;;;;1399;OUTROS;2;;;;
0001;0;87;Bloqueio de pagamento e cobranca, evento nao Autorizado.;1;3;1;0;;0;3;;;;1;1;1;;;;1899;OUTROS;2;;;;
0001;0;88;Matricula nao existe ou invalida, criado usuario generico.;1;3;1;0;;0;3;;;;1;1;1;;;;1899;OUTROS;2;;;;
0001;0;89;Tipo de procedimento invalido para o procedimento informado;1;3;1;0;;0;3;;;;1;1;1;;;;1899;OUTROS;2;;;;
0001;0;90;Procedimento com periodicidade em relacao a outro procedimento ja realizado.;1;3;0;0;;0;3;;;;1;1;1;;;;1899;OUTROS;2;;;;
0001;0;91;Solicitacao nao encontrada para este usuario.;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;0;98;Obrigatorio a informacao do profissional executante para este tipo de guia;1;3;1;0;;0;3;0;;;1;1;1;;;;1311;PRESTADOR EXECUTANTE NAO INFORMADO;2;;;;
0001;0;99;Guia ja processada com este numero de impresso;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;0;9B;Participacao informada nao existe para este procedimento;1;3;1;0;;0;3;;;;1;1;1;;;;9991;;2;;;;
0001;0;9C;Item nao encontrado na guia informada.;1;3;1;0;;0;3;;;;1;1;1;;;;9992;;2;;;;
0001;0;9E;Bloqueio de pagamento ou exclusao da composicao ao negar sub-item.;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;0;9F;Bloqueio de pagamento, composicao nao autorizada no Atendimento.;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;0;9G;Nao existe Vigencia Ativa!;1;3;0;0;;0;3;;;;1;1;1;;;;9993;;2;;;;
0001;0;9H;Procedimento bloqueado na sub-especialidade de Rede de atendimento.;1;3;1;0;;0;3;;;;1;1;1;;;;9994;;2;;;;
0001;0;9I;Esta Guia sera Glosada, pois, esta duplicada.;1;3;0;0;;0;3;;;;1;1;1;;;;9995;;2;;;;
0001;0;9J;Atendimento domiciliar necessita liberacao atencao a saude.;1;3;1;0;;0;3;;;;1;1;1;;;1;;;2;;;;
0001;0;9K;A Rede Nao Referenciada executante e uma RDA que permite solicitar/executar;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;0;9L;Procedimento ja existente no pacote.;1;3;1;0;;0;3;;;;1;1;1;;;1;;;2;;;;
0001;0;9M;Nao permite Reembolso para o Usuario!;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;0;9N;Data de entrega fora do prazo;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;0;9O;Evento ja pago ou incidencia excede a quantidade autorizada;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;0;9P;Habilita checagem de regra para procedimentos incompativeis;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;0;9Q;Habilita checagem DE/PARA TUSS!;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;0;9S;Quantidade de dias permitido para execucao da guia foi ultrapassado;1;3;1;0;;1;3;1;;;1;1;1;;;;1899;Quantidade de dias permitido para execucao da guia foi ultrapassado;2;;;;
0001;0;9U;Guia possui cobranca de participacao nao prevista na composicao do evento;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;0;A6;Refeicao para Acompanhantes;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;0;TS;Apenas um procedimento pode ser executado para a mesma data de execucao, prestador e beneficiario.;1;3;1;0;;0;3;0;;;0;;;;;0;1527;APENAS UM PROCEDIMENTO POR DATA, PRESTADOR E BENEFICIARIO.;2;;;;
0001;0;TT;Valor cobrado da despesa diferente do valor negociado.;1;3;1;0;;0;2;0;;;;;;;;1;;Verificar o valor da despesa;2;;;;
0001;5;03;Rede de Atendimento sem local de atendimento cadastrado.;1;3;1;0;;0;3;;;;;;;;;;1299;OUTROS;2;;;;
0001;5;05;Familia bloqueada.;1;3;1;0;;0;3;;;;1;1;1;;;;1799;OUTROS;2;;;;
0001;5;06;Usuario bloqueado.;1;3;1;0;;0;1;1;;;;;;;;;1014;BENEFICIARIO COM DATA DE EXCLUSAO;2;;;;
0001;5;07;Operadora invalida para este usuario.;1;3;1;0;;0;1;0;;;;;;;;;1099;OUTROS;2;;;;
0001;5;08;Matricula do usuario: Invalida.;1;3;1;0;;0;3;;;;1;1;1;;;;1799;OUTROS;2;;;;
0001;5;09;Operadora da Rede de atendimento: Invalida.;1;3;1;0;;0;3;0;;;1;1;1;;;;1299;OUTROS;2;;;;
0001;5;10;Matricula da Rede de atendimento: Invalida.;1;3;1;0;;0;1;0;;;;;;;;;1203;CODIGO PRESTADOR INVALIDO;2;;;;
0001;5;11;Rede de atendimento nao permitida para a operadora informada.;1;3;1;0;;0;3;0;;;1;1;1;;;;1299;OUTROS;2;;;;
0001;5;13;Rede de atendimento sem especialidade cadastrada;1;3;1;0;;0;1;0;;;;;;;;;1299;OUTROS;2;;;;
0001;5;15;Nao existe calendario de pagamento para a data do evento informada.;1;3;1;0;;0;1;0;;;;;;;;;1399;OUTROS;2;;;;
0001;5;16;O Valor do evento esta igual a zero.;1;3;0;0;;0;3;;;;1;1;1;;;;1899;OUTROS;2;;;;
0001;5;18;Nao existe composicao para esse procedimento.;1;3;1;0;;0;1;0;;;;;;;;;1499;OUTROS;2;;;;
0001;5;20;A expressao para o Calculo da US em Especialidades na RDA, nao foi informado corretamente.;1;3;1;0;;0;3;0;;;;;;;;;1399;OUTROS;2;;;;
0001;5;24;Nao foi informado nenhum valor para a US.;1;3;1;0;;0;1;0;;;;;;;;;2699;OUTROS;2;;;;
0001;5;26;Nao foi informado nenhum valor para o Porte Anestesico.;1;3;1;0;;0;1;0;;;;;;;;;2603;COBRANCA HONORARIO SEM PARTICIPACAO DO PROFISSIONAL;2;;;;
0001;5;27;Nao foi informado nenhum valor para o auxiliar.;1;3;1;0;;0;3;0;;;1;1;1;;;;2603;COBRANCA HONORARIO SEM PARTICIPACAO DO PROFISSIONAL;2;;;;
0001;5;28;O Procedimento foi negado para execucao por este prestador/local de atendimento/especialidade;1;3;1;0;;0;3;0;;;;;;;;;1429;CBO-S (ESPECIALIDADE) NAO AUTORIZADO REALIZAR O SERVICO;2;;;;
0001;5;29;A parametrizacao dos niveis de cobranca esta invalida.;1;3;1;0;;0;3;0;;;1;1;1;;;;1699;OUTROS;2;;;;
0001;5;30;Digito verificador da matricula invalido;1;3;1;0;;0;1;0;;;;;;;;;1011;IDENTIFICACAO DO BENEFICIARIO NAO CONSISTENTE;2;;;;
0001;5;31;Nao foi encontrada nenhuma tabela de pagamento para esta guia;1;3;1;0;;0;3;0;;;;;;;;;1399;OUTROS;2;;;;
0001;5;33;Gerenciador de comunicacao OnLine nao esta ativo.;1;3;1;0;;0;1;0;;;;;;;;;1412;PROBLEMAS NO SISTEMA AUTORIZADOR;2;;;;
0001;5;34;Time out.Operadora fora do Ar.;1;3;1;0;;0;3;1;;;;;;;;;1412;PROBLEMAS NO SISTEMA AUTORIZADOR;2;;;;
0001;5;36;Existem campos obrigatorios que nao foram informados para esta GIH.;1;3;1;0;;0;1;0;;;;;;;;;1399;OUTROS;2;;;;
0001;5;37;CID informado invalido.;1;3;1;0;;0;3;0;;;1;1;1;;;;1509;CODIGO CID INVALIDO;2;;;;
0001;5;38;Data de validade do cartao da empresa vencida.;1;3;1;0;;0;3;;;;1;1;1;;;;1799;OUTROS;2;;;;
0001;5;39;Data de validade do cartao do usuario vencida.;1;3;1;0;;0;3;0;;;;;;;;;1017;DATA VALIDADE DA CARTEIRA VENCIDA;2;;;;
0001;5;40;Erro controlado SIGAPLS.;1;3;1;0;;0;3;;;;0;1;1;;;;1399;OUTROS;2;;;;
0001;5;41;Nao foi encontrado o registro na tabela de Glosa de Movimentacao;1;3;1;0;;0;3;0;;;1;1;1;;;;2901;REVISAO DE GLOSA INVALIDA;2;;;;
0001;5;44;Procedimento nao encontrado na guia clonada.;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;5;47;Valor de pagamento, do subitem de um mesmo procedimento para a mesma R.D.A, divergentes entre as guias.;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;5;48;Codigo da R.D.A para pagamento de um mesmo subitem divergentes entre as guias.;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;5;49;Nao foi possivel localizar o lancamento de debito/credito.;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;5;54;Tipo de guia nao encontrado (;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;5;55;O produto saude do beneficiario nao atende a esta cidade ou estado.Verifique a area de abrangencia do plano.;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;5;60;Para solicitacao referente a esta internacao ja consta data de alta;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;5;61;Incompatibilidade de informacao entre tipo de faturamento e data de alta;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;5;66;Procedimento incompativel com um dos procedimentos da guia - Criticar;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;5;73;Demanda por requerimento;1;3;1;0;;0;3;;;;1;1;1;;;1;;;2;;;;
0001;5;74;Auditoria Participativa;1;3;1;0;;0;3;;;;1;1;1;;;1;;;2;;;;
0001;5;75;Participacao informada nao existe para este procedimento;1;3;0;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;5;76;Participacao informada nao existe para este procedimento ou o procedimento nao possui nenhum participacao cadastrada.;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;5;80;Tipo de Carater Invalido;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;5;81;Participacao informada nao existe para este procedimento ou o procedimento nao possui nenhum participacao cadastrada.;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;5;85;Quantidade de diarias Solicitadas diferente do Configurado na Tabela Padrao;1;3;1;0;;0;1;0;;;1;0;1;0;;1;1423;QUANTIDADE SOLICITADA ACIMA DA QUANTIDADE PERMITIDA (DIARIA);2;;;;1
0001;5;87;Token invalido.;1;3;1;0;;0;1;0;;;1;1;1;;;;1011;IDENTIFICACAO DO BENEFICIARIO NAO CONSISTENTE;2;;;;
0001;7;01;Limite de consultas excedido. Necessario autorizacao da empresa.;1;3;1;0;;1;3;1;;;;;;;;;9916;LIMITE CONSULTAS EXCEDIDO. NECESSITA AUTORIZ. EMPRESA;2;;;;
0001;7;02;Usuario ainda nao pagou a primeira mensalidade;1;3;1;0;;0;1;1;;;;;;;;;9904;ACESSO NEGADO. PROCURAR A OPERADORA;2;;;;
0001;7;03;CID nao permitido para este executante - enviar para auditoria;1;3;1;0;;1;3;1;;;1;1;1;;;;9917;CID NAO PERMITIDO - ENCAMINHAR USUARIO PARA A OPERADORA;1;;;;
0001;7;04;Cid incompativel com o servico;1;3;1;0;;0;3;0;;;1;1;1;;;;9918;CID INCOMPATIVEL COM O SERVICO;1;;;;
0001;7;05;Rede de atendimento de Alto Custo;1;3;1;0;;0;3;0;;;1;1;1;;;;1299;OUTROS;2;;;;
0001;7;07;Quantidade maxima de procedimentos excedida;1;3;1;0;;0;3;0;;;1;1;1;;;;1820;COBRANCA EM QTD ACIMA DA MAXIMA PERMITIDA /AUTORIZADA;2;;;;
0001;7;08;Rda com atendimento suspenso;1;3;0;0;;0;1;;;;1;1;1;0;;0;9919;RDA COM ATENDIMENTO SUSPENSO;1;;;;
0001;7;09;Necessita de justificativa tecnica (Relatorio Prestador);1;3;0;0;;0;3;1;;;1;1;1;0;;0;9920;NECESSITA DE JUSTIFICATIVA TECNICA (RELATORIO PRESTADOR);2;;;;
0001;7;10;TEDTE;1;3;1;0;1;1;3;1;;;1;1;1;1;;1;;;1;1;;;
0001;9;03;Subcontrato cadastrado para intercambio invalido.;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;9;04;Operadora do usuario de intercambio possui mesmo codigo da operadora padrao.;1;3;1;0;;0;3;;;;1;1;1;;;;1899;OUTROS;2;;;;
0001;X;01;Arquivo(s) de Schemas nao encontrado(s);1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;02;Nao foi possivel encontrar o cabecalho;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;03;Nao foi possivel encontrar a Mensagem da Operadora;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;04;Nao foi possivel encontrar a Mensagem do prestador;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;05;Nao foi possivel encontrar o Epilogo;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;06;Numero sequencial no nome do arquivo invalido;1;3;0;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;07;Delimitador nao encontrado no nome do arquivo;1;3;0;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;08;Tamanho do hash no nome do arquivo invalido;1;3;0;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;09;NameSpace definido incorreto com base nos Schemas;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;10;Especialidade nao encontrada no sistema, para este prestador, com base no CBOS informado no arquivo;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;11;Estrutura da TAG CABECALHO nao definida, ou definida de maneira incorreta, no arquivo submetido;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;12;Estrutura da TAG PRESTADORPARAOPERADORA nao definida, ou definida de maneira incorreta, no arquivo submetido;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;13;Estrutura da TAG EPILOGO nao definida, ou definida de maneira incorreta, no arquivo submetido;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;14;Versao do arquivo nao aceito pela operadora;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;15;Hash invalido, diferenca entre informado e a validacao do conteudo;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;16;Tipo de guia enviada no arquivo nao permitida ou incorreta;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;17;Conteudo que identifica o prestador na operadora esta invalido;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;18;Tipo de transacao invalido para o tipo de guia;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;19;Codigo do numero de registo na ANS enviado invalido;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;20;Nao existe calendario de pagamento, cadastrado na operadora, para esta competencia;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;21;Matricula do beneficiario nao reconhecida pela operadora na data informada;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;22;CID informado invalido;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;23;Numero da senha de autorizacao enviada invalida;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;24;Codigo que identifica o contratado nao reconhecido pela operadora;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;25;Especialidade nao encontrada no sistema com base no CBOS informado no arquivo;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
0001;X;26;Codigo que identifica o executante nao reconhecido pela operadora;1;3;1;0;;0;3;;;;1;1;1;;;;;;2;;;;
