CT1_CONTA;CT1_DESC01;CT1_CLASSE;CT1_NORMAL;CT1_BLOQ;CT1_CTASUP;CT1_CTLALU;CT1_DIOPS
122129082;Ajuste ao Valor de Mercado;2;1;2;12212908;122129082;1
12212909;(-) Provisão para Desvalorização de Títulos de Renda Fixa - Públicos;1;1;2;122129;12212909;1
122129099;(-) Provisão para Desvalorização de Títulos de Renda Fixa - Públicos;2;1;2;12212909;122129099;1
12213;TÍTULOS DE RENDA VARIÁVEL;1;1;2;1221;12213;1
122139;Títulos de Renda Variável;1;1;2;12213;122139;1
12213901;Cotas de Fundos de Investimentos;1;1;2;122139;12213901;1
122139011;Valor Original;2;1;2;12213901;122139011;1
122139012;Ajuste ao Valor de Mercado;2;1;2;12213901;122139012;1
12213908;Outros Títulos de Renda Variável;1;1;2;122139;12213908;1
122139081;Valor Original;2;1;2;12213908;122139081;1
122139082;Ajuste ao Valor de Mercado;2;1;2;12213908;122139082;1
12213909;(-) Provisão para Desvalorização de Títulos de Renda Variável;1;1;2;122139;12213909;1
122139099;(-) Provisão para Desvalorização de Títulos de Renda Variável;2;1;2;12213909;122139099;1
12218;OUTRAS APLICAÇÕES;1;1;2;1221;12218;1
122189;Outras Aplicações;1;1;2;12218;122189;1
12218908;Outras Aplicações;1;1;2;122189;12218908;1
122189081;Valor Original;2;1;2;12218908;122189081;1
122189082;Ajuste ao Valor de Mercado;2;1;2;12218908;122189082;1
12218909;(-) Provisão para Desvalorização de Outras Aplicações;1;1;2;122189;12218909;1
122189099;(-) Provisão para Desvalorização de Outras Aplicações;2;1;2;12218909;122189099;1
1222;APLICAÇÕES LIVRES;1;1;2;122;1222;1
12221;TÍTULOS DE RENDA FIXA - PRIVADOS;1;1;2;1222;12221;1
122219;Títulos de Renda Fixa - Privados;1;1;2;12221;122219;1
12221901;Depósitos Bancários a Prazo - CDB/RDB;1;1;2;122219;12221901;1
122219011;Valor Original;2;1;2;12221901;122219011;1
122219012;Ajuste ao Valor de Mercado;2;1;2;12221901;122219012;1
12221902;Cotas de Fundos de Investimentos;1;1;2;122219;12221902;1
122219021;Valor Original;2;1;2;12221902;122219021;1
122219022;Ajuste ao Valor de Mercado;2;1;2;12221902;122219022;1
12221908;Outros Títulos de Renda Fixa;1;1;2;122219;12221908;1
122219081;Valor Original;2;1;2;12221908;122219081;1
122219082;Ajuste ao Valor de Mercado;2;1;2;12221908;122219082;1
12221909;(-) Provisão para Desvalorização de Títulos de Renda Fixa - Privados;1;1;2;122219;12221909;1
122219099;(-) Provisão para Desvalorização de Títulos de Renda Fixa - Privados;2;1;2;12221909;122219099;1
12222;TÍTULOS DE RENDA FIXA - PÚBLICOS;1;1;2;1222;12222;1
122229;Títulos de Renda Fixa - Públicos;1;1;2;12222;122229;1
12222901;Títulos da Dívida Pública Interna;1;1;2;122229;12222901;1
122229011;Valor Original;2;1;2;12222901;122229011;1
122229012;Ajuste ao Valor de Mercado;2;1;2;12222901;122229012;1
12222902;Cotas de Fundos de Investimentos;1;1;2;122229;12222902;1
122229021;Valor Original;2;1;2;12222902;122229021;1
122229022;Ajuste ao Valor de Mercado;2;1;2;12222902;122229022;1
12222908;Outros Títulos de Renda Fixa;1;1;2;122229;12222908;1
122229081;Valor Original;2;1;2;12222908;122229081;1
122229082;Ajuste ao Valor de Mercado;2;1;2;12222908;122229082;1
12222909;(-) Provisão para Desvalorização de Títulos de Renda Fixa - Públicos;1;1;2;122229;12222909;1
122229099;(-) Provisão para Desvalorização de Títulos de Renda Fixa - Públicos;2;1;2;12222909;122229099;1
12223;TÍTULOS DE RENDA VARIÁVEL;1;1;2;1222;12223;1
122239;Títulos de Renda Variável;1;1;2;12223;122239;1
12223901;Cotas de Fundos de Investimentos;1;1;2;122239;12223901;1
122239011;Valor Original;2;1;2;12223901;122239011;1
122239012;Ajuste ao Valor de Mercado;2;1;2;12223901;122239012;1
12223908;Outros Títulos de Renda Variável;1;1;2;122239;12223908;1
122239081;Valor Original;2;1;2;12223908;122239081;1
122239082;Ajuste ao Valor de Mercado;2;1;2;12223908;122239082;1
12223909;(-) Provisão para Desvalorização de Títulos de Renda Variável;1;1;2;122239;12223909;1
122239099;(-) Provisão para Desvalorização de Títulos de Renda Variável;2;1;2;12223909;122239099;1
12228;OUTRAS APLICAÇÕES;1;1;2;1222;12228;1
122289;Outras Aplicações;1;1;2;12228;122289;1
12228908;Outras Aplicações;1;1;2;122289;12228908;1
122289081;Valor Original;2;1;2;12228908;122289081;1
122289082;Ajuste ao Valor de Mercado;2;1;2;12228908;122289082;1
12228909;(-) Provisão para Desvalorização de Outras Aplicações;1;1;2;122289;12228909;1
122289099;(-) Provisão para Desvalorização de Outras Aplicações;2;1;2;12228909;122289099;1
123;CRÉDITOS DE OPERAÇÕES COM PLANOS DE ASSISTÊNCIA À SAÚDE;1;1;2;12;123;1
1231;CONTRAPRESTAÇÃO PECUNIÁRIA/PRÊMIO A RECEBER;1;1;2;123;1231;1
12311;CONTRAPRESTAÇÃO PECUNIÁRIA/PRÊMIOS A RECEBER DE ASSISTÊNCIA MÉDICO HOSPITALAR;1;1;2;1231;12311;1
123111;Cobertura Assistencial com Preço Preestabelecido;1;1;2;12311;123111;1
12311101;Contraprestação Pecuniária/Prêmios a Receber;1;1;2;123111;12311101;1
123111011;Individual;2;1;2;12311101;123111011;1
123111012;Coletivo sem Administradora de Benefícios como Estipulante;2;1;2;12311101;123111012;1
123111013;Coletivo com Administradora de Benefícios - Contratos Estipulados como Estipulante;2;1;2;12311101;123111013;1
12311109;(-) Provisão para Perdas Sobre Créditos;1;1;2;123111;12311109;1
123111091;Individual;2;1;2;12311109;123111091;1
123111092;Coletivo sem Administradora de Benefícios como Estipulante;2;1;2;12311109;123111092;1
123111093;Coletivo com Administradora de Benefícios - Contratos Estipulados como Estipulante;2;1;2;12311109;123111093;1
123112;Cobertura Assistencial com Preço Pós-estabelecido;1;1;2;12311;123112;1
12311201;Contraprestação Pecuniária/Prêmios a Receber;1;1;2;123112;12311201;1
123112011;Individual;2;1;2;12311201;123112011;1
123112012;Coletivo sem Administradora de Benefícios como Estipulante;2;1;2;12311201;123112012;1
123112013;Coletivo com Administradora de Benefícios - Contratos Estipulados como Estipulante;2;1;2;12311201;123112013;1
123112015;Taxa de Administração com Plano de Assitencia Medico Hospitalar;2;1;2;12311201;123112015;1
12311209;(-) Provisão para Perdas Sobre Créditos;1;1;2;123112;12311209;1
123112091;Individual;2;1;2;12311209;123112091;1
123112092;Coletivo sem Administradora de Benefícios como Estipulante;2;1;2;12311209;123112092;1
123112093;Coletivo com Administradora de Benefícios - Contratos Estipulados como Estipulante;2;1;2;12311209;123112093;1
123112095;Taxa de Administração com Plano de Assitencia Medico Hospitalar;2;1;2;12311209;123112095;1
12312;CONTRAPRESTAÇÃO PECUNIÁRIA/PRÊMIOS A RECEBER DE ASSISTÊNCIA ODONTOLÓGICA;1;1;2;1231;12312;1
123121;Cobertura Assistencial com Preço Preestabelecido;1;1;2;12312;123121;1
12312101;Contraprestação Pecuniária/Prêmios a Receber;1;1;2;123121;12312101;1
123121011;Individual;2;1;2;12312101;123121011;1
123121012;Coletivo sem Administradora de Benefícios como Estipulante;2;1;2;12312101;123121012;1
123121013;Coletivo com Administradora de Benefícios - Contratos Estipulados como Estipulante;2;1;2;12312101;123121013;1
12312109;(-) Provisão para Perdas Sobre Créditos;1;1;2;123121;12312109;1
123121091;Individual;2;1;2;12312109;123121091;1
123121092;Coletivo sem Administradora de Benefícios como Estipulante;2;1;2;12312109;123121092;1
123121093;Coletivo com Administradora de Benefícios - Contratos Estipulados como Estipulante;2;1;2;12312109;123121093;1
123122;Cobertura Assistencial com Preço Pós-estabelecido;1;1;2;12312;123122;1
12312201;Contraprestação Pecuniária/Prêmios a Receber;1;1;2;123122;12312201;1
123122011;Individual;2;1;2;12312201;123122011;1
123122012;Coletivo sem Administradora de Benefícios como Estipulante;2;1;2;12312201;123122012;1
123122013;Coletivo com Administradora de Benefícios - Contratos Estipulados como Estipulante;2;1;2;12312201;123122013;1
123122015;Taxa de Administração com Plano de Assitencia Odontológica;2;1;2;12312201;123122015;1
12312209;(-) Provisão para Perdas Sobre Créditos;1;1;2;123122;12312209;1
123122091;Individual;2;1;2;12312209;123122091;1
123122092;Coletivo sem Administradora de Benefícios como Estipulante;2;1;2;12312209;123122092;1
123122093;Coletivo com Administradora de Benefícios - Contratos Estipulados como Estipulante;2;1;2;12312209;123122093;1
123122095;Taxa de Administração com Plano de Assitencia Odontológica;2;1;2;12312209;123122095;1
1232;CRÉDITOS DE OPERAÇÕES DE ADMINISTRAÇÃO DE BENEFÍCIOS;1;1;2;123;1232;1
12321;ADMINISTRAÇÃO DE BENEFÍCIOS DE PLANOS DE ASSISTÊNCIA MÉDICO-HOSPITALAR;1;1;2;1232;12321;1
123219;Administração de Benefícios de Planos de Assistência Médico-Hospitalar;1;1;2;12321;123219;1
12321901;Taxa de Administração de Benefícios a Receber;1;1;2;123219;12321901;1
123219011;Contratos Estipulados;2;1;2;12321901;123219011;1
123219012;Contratos Não Estipulados;2;1;2;12321901;123219012;1
123219019;(-)Provisão para Perdas Sobre Créditos;2;1;2;12321901;123219019;1
12321902;Créditos a Receber de Contraprestações a Repassar;1;1;2;123219;12321902;1
123219021;Contratos Estipulados;2;1;2;12321902;123219021;1
123219022;Contratos Não Estipulados;2;1;2;12321902;123219022;1
123219029;(-)Provisão para Perdas Sobre Créditos;2;1;2;12321902;123219029;1
12322;ADMINISTRAÇÃO DE BENEFÍCIOS DE ASSISTÊNCIA ODONTOLÓGICA;1;1;2;1232;12322;1
123229;Administração de Benefícios de Assistência Odontológica;1;1;2;12322;123229;1
12322901;Taxa de Administração de Benefícios a Receber;1;1;2;123229;12322901;1
123229011;Contratos Estipulados;2;1;2;12322901;123229011;1
123229012;Contratos Não Estipulados;2;1;2;12322901;123229012;1
123229019;(-)Provisão para Perdas Sobre Créditos;2;1;2;12322901;123229019;1
12322902;Contraprestações/Prêmios a Receber;1;1;2;123229;12322902;1
123229021;Contratos Estipulados;2;1;2;12322902;123229021;1
123229022;Contratos Não Estipulados;2;1;2;12322902;123229022;1
123229029;(-)Provisão para Perdas Sobre Créditos;2;1;2;12322902;123229029;1
1233;PARTICIPAÇÃO DOS BENEFICIÁRIOS EM EVENTOS/SINISTROS INDENIZADOS;1;1;2;123;1233;1
12331;PARTICIPAÇÃO DOS BENEFICIÁRIOS EM EVENTOS/SINISTROS INDENIZADOS DE ASSISTÊNCIA MÉDICO-HOSPITALAR;1;1;2;1233;12331;1
123311;Cobertura Assistencial com Preço Preestabelecido;1;1;2;12331;123311;1
12331101;Participação dos Beneficiários em Eventos/Sinistros Indenizados;1;1;2;123311;12331101;1
123311011;Participação dos Beneficiários em Eventos/Sinistros Indenizados;2;1;2;12331101;123311011;1
123311019;(-) Provisão para Perdas Sobre Créditos;2;1;2;12331101;123311019;1
123312;Cobertura Assistencial com Preço Pós-estabelecido;1;1;2;12331;123312;1
12331201;Participação dos Beneficiários em Eventos/Sinistros Indenizados;1;1;2;123312;12331201;1
123312011;Participação dos Beneficiários em Eventos/Sinistros Indenizados;2;1;2;12331201;123312011;1
123312019;(-) Provisão para Perdas Sobre Créditos;2;1;2;12331201;123312019;1
12332;PARTICIPAÇÃO DOS BENEFICIÁRIOS EM EVENTOS/SINISTROS INDENIZADOS DE ASSISTÊNCIA ODONTOLÓGICA;1;1;2;1233;12332;1
123321;Cobertura Assistencial com Preço Preestabelecido;1;1;2;12332;123321;1
12332101;Participação dos Beneficiários em Eventos/Sinistros Indenizados;1;1;2;123321;12332101;1
123321011;Participação dos Beneficiários em Eventos/Sinistros Indenizados;2;1;2;12332101;123321011;1
123321019;(-) Provisão para Perdas Sobre Créditos;2;1;2;12332101;123321019;1
123322;Cobertura Assistencial com Preço Pós-estabelecido;1;1;2;12332;123322;1
12332201;Participação dos Beneficiários em Eventos/Sinistros Indenizados;1;1;2;123322;12332201;1
123322011;Participação dos Beneficiários em Eventos/Sinistros Indenizados;2;1;2;12332201;123322011;1
123322019;(-) Provisão para Perdas Sobre Créditos;2;1;2;12332201;123322019;1
1234;OPERADORAS DE PLANOS DE ASSISTÊNCIA À SAÚDE;1;1;2;123;1234;1
12341;OPERADORAS DE PLANOS DE ASSISTÊNCIA MÉDICO-HOSPITALAR;1;1;2;1234;12341;1
123411;Cobertura Assistencial com Preço Preestabelecido;1;1;2;12341;123411;1
12341101;Contraprestação Corresponsabilidade Assumida;1;1;2;123411;12341101;1
123411011;Contraprestação Corresponsabilidade Assumida;2;1;2;12341101;123411011;1
12341102;Cosseguro Aceito;1;1;2;123411;12341102;1
123411021;Prêmios;2;1;2;12341102;123411021;1
123411022;Sinistros;2;1;2;12341102;123411022;1
123411023;Comercialização;2;1;2;12341102;123411023;1
123411028;Outros Créditos;2;1;2;12341102;123411028;1
12341103;Cosseguro Cedido;1;1;2;123411;12341103;1
123411031;Prêmios;2;1;2;12341103;123411031;1
123411032;Sinistros;2;1;2;12341103;123411032;1
123411033;Comercialização;2;1;2;12341103;123411033;1
123411038;Outros Créditos;2;1;2;12341103;123411038;1
12341108;Outros;1;1;2;123411;12341108;1
123411081;Outros;2;1;2;12341108;123411081;1
12341109;(-) Provisão para Perdas Sobre Créditos;1;1;2;123411;12341109;1
123411091;(-) Provisão para Perdas Sobre Créditos;2;1;2;12341109;123411091;1
123412;Cobertura Assistencial com Preço Pós-estabelecido;1;1;2;12341;123412;1
12341201;Contraprestação Corresponsabilidade Assumida;1;1;2;123412;12341201;1
123412011;Contraprestação Corresponsabilidade Assumida;2;1;2;12341201;123412011;1
12341202;Cosseguro Aceito;1;1;2;123412;12341202;1
123412021;Prêmios;2;1;2;12341202;123412021;1
123412022;Sinistros;2;1;2;12341202;123412022;1
123412023;Comercialização;2;1;2;12341202;123412023;1
123412028;Outros Créditos;2;1;2;12341202;123412028;1
12341203;Cosseguro Cedido;1;1;2;123412;12341203;1
123412031;Prêmios;2;1;2;12341203;123412031;1
123412032;Sinistros;2;1;2;12341203;123412032;1
123412033;Comercialização;2;1;2;12341203;123412033;1
123412038;Outros Créditos;2;1;2;12341203;123412038;1
12341208;Outros;1;1;2;123412;12341208;1
123412081;Outros;2;1;2;12341208;123412081;1
12341209;(-) Provisão para Perdas Sobre Créditos;1;1;2;123412;12341209;1
123412091;(-) Provisão para Perdas Sobre Créditos;2;1;2;12341209;123412091;1
12342;OPERADORAS DE PLANOS DE ASSISTÊNCIA ODONTOLÓGICA;1;1;2;1234;12342;1
123421;Cobertura Assistencial com Preço Preestabelecido;1;1;2;12342;123421;1
12342101;Contraprestação Corresponsabilidade Assumida;1;1;2;123421;12342101;1
123421011;Contraprestação Corresponsabilidade Assumida;2;1;2;12342101;123421011;1
12342102;Cosseguro Aceito;1;1;2;123421;12342102;1
123421021;Prêmios;2;1;2;12342102;123421021;1
123421022;Sinistros;2;1;2;12342102;123421022;1
123421023;Comercialização;2;1;2;12342102;123421023;1
123421028;Outros Créditos;2;1;2;12342102;123421028;1
12342103;Cosseguro Cedido;1;1;2;123421;12342103;1
123421031;Prêmios;2;1;2;12342103;123421031;1
123421032;Sinistros;2;1;2;12342103;123421032;1
123421033;Comercialização;2;1;2;12342103;123421033;1
123421038;Outros Créditos;2;1;2;12342103;123421038;1
12342108;Outros;1;1;2;123421;12342108;1
123421081;Outros;2;1;2;12342108;123421081;1
12342109;(-) Provisão para Perdas Sobre Créditos;1;1;2;123421;12342109;1
123421091;(-) Provisão para Perdas Sobre Créditos;2;1;2;12342109;123421091;1
123422;Cobertura Assistencial com Preço Pós-estabelecido;1;1;2;12342;123422;1
12342201;Contraprestação Corresponsabilidade Assumida;1;1;2;123422;12342201;1
123422011;Contraprestação Corresponsabilidade Assumida;2;1;2;12342201;123422011;1
12342202;Cosseguro Aceito;1;1;2;123422;12342202;1
123422021;Prêmios;2;1;2;12342202;123422021;1
123422022;Sinistros;2;1;2;12342202;123422022;1
123422023;Comercialização;2;1;2;12342202;123422023;1
123422028;Outros Créditos;2;1;2;12342202;123422028;1
12342203;Cosseguro Cedido;1;1;2;123422;12342203;1
123422031;Prêmios;2;1;2;12342203;123422031;1
123422032;Sinistros;2;1;2;12342203;123422032;1
123422033;Comercialização;2;1;2;12342203;123422033;1
123422038;Outros Créditos;2;1;2;12342203;123422038;1
12342208;Outros;1;1;2;123422;12342208;1
123422081;Outros;2;1;2;12342208;123422081;1
12342209;(-) Provisão para Perdas Sobre Créditos;1;1;2;123422;12342209;1
123422091;(-) Provisão para Perdas Sobre Créditos;2;1;2;12342209;123422091;1
1239;OUTROS CRÉDITOS DE OPERAÇÕES COM PLANOS DE ASSISTÊNCIA À SAÚDE;1;1;2;123;1239;1
12391;OUTROS CRÉDITOS DE OPERAÇÕES DE ASSISTÊNCIA MÉDICO-HOSPITALAR;1;1;2;1239;12391;1
123911;Cobertura Assistencial com Preço Preestabelecido;1;1;2;12391;123911;1
12391101;Resseguros;1;1;2;123911;12391101;1
123911011;Reembolso de Sinistros pendentes de liquidação;2;1;2;12391101;123911011;1
123911012;Reembolso de Sinistros liquidados;2;1;2;12391101;123911012;1
123911019;(-) Provisão para Perdas Sobre Créditos;2;1;2;12391101;123911019;1
12391102;Seguros;1;1;2;123911;12391102;1
123911021;Reembolso de Sinistros pendentes de liquidação;2;1;2;12391102;123911021;1
123911022;Reembolso de Sinistros liquidados;2;1;2;12391102;123911022;1
123911029;(-) Provisão para Perdas Sobre Créditos;2;1;2;12391102;123911029;1
12391108;Outros Créditos de Operações de Assistência Médico-Hospitalar;1;1;2;123911;12391108;1
123911082;Créditos em Programas ou Fundos para Custeio de Despesas de Assistência Médico-Hospitalar;2;1;2;12391108;123911082;1
123911088;Outros Créditos de Operações de Assistência Médico-Hospitalar;2;1;2;12391108;123911088;1
123911089;(-) Provisão para Perdas Sobre Créditos;2;1;2;12391108;123911089;1
123912;Cobertura Assistencial com Preço Pós-estabelecido;1;1;2;12391;123912;1
12391208;Outros Créditos de Operações de Assistência Médico-Hospitalar;1;1;2;123912;12391208;1
123912082;Créditos em Programas ou Fundos para Custeio de Despesas de Assistência Médico-Hospitalar;2;1;2;12391208;123912082;1
123912088;Outros Créditos de Operações de Assistência Médico-Hospitalar;2;1;2;12391208;123912088;1
123912089;(-) Provisão para Perdas Sobre Créditos;2;1;2;12391208;123912089;1
12392;OUTROS CRÉDITOS DE OPERAÇÕES DE ASSISTÊNCIA ODONTOLÓGICA;1;1;2;1239;12392;1
123921;Cobertura Assistencial com Preço Preestabelecido;1;1;2;12392;123921;1
12392101;Resseguros;1;1;2;123921;12392101;1
123921011;Reembolso de Sinistros pendentes de liquidação;2;1;2;12392101;123921011;1
123921012;Reembolso de Sinistros liquidados;2;1;2;12392101;123921012;1
123921019;(-) Provisão para Perdas Sobre Créditos;2;1;2;12392101;123921019;1
12392102;Seguros;1;1;2;123921;12392102;1
123921021;Reembolso de Sinistros pendentes de liquidação;2;1;2;12392102;123921021;1
123921022;Reembolso de Sinistros liquidados;2;1;2;12392102;123921022;1
123921029;(-) Provisão para Perdas Sobre Créditos;2;1;2;12392102;123921029;1
12392108;Outros Créditos de Operações de Assistência Odontológica;1;1;2;123921;12392108;1
123921082;Créditos em Programas ou Fundos para Custeio de Despesas de Assistência Odontológica;2;1;2;12392108;123921082;1
123921088;Outros Créditos de Operações de Assistência Odontológica;2;1;2;12392108;123921088;1
123921089;(-) Provisão para Perdas Sobre Créditos;2;1;2;12392108;123921089;1
123922;Cobertura Assistencial com Preço Pós-estabelecido;1;1;2;12392;123922;1
12392208;Outros Créditos de Operações de Assistência Odontológica;1;1;2;123922;12392208;1
123922082;Créditos em Programas ou Fundos para Custeio de Despesas de Assistência Odontológica;2;1;2;12392208;123922082;1
123922088;Outros Créditos de Operações de Assistência Odontológica;2;1;2;12392208;123922088;1
123922089;(-) Provisão para Perdas Sobre Créditos;2;1;2;12392208;123922089;1
124;CRÉDITOS DE OPERAÇÕES DE ASSISTÊNCIA À SAÚDE NÃO RELACIONADOS COM PLANOS DE SAÚDE DA OPERADORA;1;1;2;12;124;1
1241;CRÉDITOS DE OPERAÇÕES DE ASSISTÊNCIA À SAÚDE NÃO RELACIONADOS COM PLANOS DE SAÚDE DA OPERADORA;1;1;2;124;1241;1
12411;CRÉDITOS A RECEBER DE PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA MÉDICO-HOSPITALAR;1;1;2;1241;12411;1
124119;Contas a Receber de Prestação de Serviços Médico-Hospitalar;1;1;2;12411;124119;1
12411901;Contas a Receber;1;1;2;124119;12411901;1
124119011;Contas a Receber;2;1;2;12411901;124119011;1
124119019;(-) Provisão para Perdas Sobre Créditos;2;1;2;12411901;124119019;1
12411902;Intercâmbio a Receber - Atendimento Eventual;1;1;2;124119;12411902;1
124119021;Taxa de Administração;2;1;2;12411902;124119021;1
124119022;Reembolso;2;1;2;12411902;124119022;1
124119029;(-) Provisão para Perdas Sobre Créditos;2;1;2;12411902;124119029;1
12411908;Outros Créditos Operacionais de Prestação de Serviço Médico-Hospitalar;1;1;2;124119;12411908;1
124119082;Créditos com Administração de Programas ou Fundos de Custeio de Despesas Médico-Hospitalar;2;1;2;12411908;124119082;1
124119088;Outros Créditos Operacionais de Prestação de Serviço Médico-Hospitalar;2;1;2;12411908;124119088;1
124119089;(-) Provisão para Perdas Sobre Créditos;2;1;2;12411908;124119089;1
12412;CRÉDITOS A RECEBER DE PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA ODONTOLÓGICA;1;1;2;1241;12412;1
124129;Contas a Receber de Prestação de Serviços Odontológica;1;1;2;12412;124129;1
12412901;Contas a Receber;1;1;2;124129;12412901;1
124129011;Contas a Receber;2;1;2;12412901;124129011;1
124129019;(-) Provisão para Perdas Sobre Créditos;2;1;2;12412901;124129019;1
12412902;Intercâmbio a Receber - Atendimento Eventual;1;1;2;124129;12412902;1
124129021;Taxa de Administração;2;1;2;12412902;124129021;1
124129022;Reembolso;2;1;2;12412902;124129022;1
124129029;(-) Provisão para Perdas Sobre Créditos;2;1;2;12412902;124129029;1
12412908;Outros Créditos Operacionais de Prestação de Serviço Odontológico;1;1;2;124129;12412908;1
124129082;Créditos com Administração de Programas ou Fundos de Custeio de Despesas Odontológica;2;1;2;12412908;124129082;1
124129088;Outros Créditos Operacionais de Prestação de Serviço Odontológico;2;1;2;12412908;124129088;1
124129089;(-) Provisão para Perdas Sobre Créditos;2;1;2;12412908;124129089;1
125;DESPESAS DIFERIDAS;1;1;2;12;125;1
1251;COMISSÕES DIFERIDAS COM OPERAÇÕES DE ASSISTÊNCIA A SAÚDE;1;1;2;125;1251;1
12511;COMISSÕES/AGENCIAMENTOS DIFERIDOS COM PLANOS DE ASSISTÊNCIA MÉDICO-HOSPITALAR;1;1;2;1251;12511;1
125119;Comissões/Agenciamentos Diferidos com Planos de Assistência Médico-Hospitalar;1;1;2;12511;125119;1
12511901;Comissões/Agenciamentos Diferidos com Planos de Assistência Médico-Hospitalar;1;1;2;125119;12511901;1
125119011;Comissões/Agenciamentos Diferidos - Contraprestações Pecuniárias;2;1;2;12511901;125119011;1
12511902;Comissões/Agenciamentos Diferidos - Seguros;1;1;2;125119;12511902;1
125119021;Comissão/Agenciamentos de Seguros;2;1;2;12511902;125119021;1
125119022;Comissão/Agenciamentos de Cosseguro Aceito;2;1;2;12511902;125119022;1
12512;COMISSÕES/AGENCIAMENTOS DIFERIDOS COM PLANOS DE ASSISTÊNCIA ODONTOLÓGICA;1;1;2;1251;12512;1
125129;Comissões/Agenciamentos Diferidos com Planos de Assistência Odontológica;1;1;2;12512;125129;1
12512901;Comissões/Agenciamentos Diferidos com Planos de Assistência Odontológica;1;1;2;125129;12512901;1
125129011;Comissões/Agenciamentos Diferidos - Contraprestações Pecuniárias;2;1;2;12512901;125129011;1
12512902;Comissões/Agenciamentos Diferidos - Seguros;1;1;2;125129;12512902;1
125129021;Comissão/Agenciamentos de Seguros;2;1;2;12512902;125129021;1
125129022;Comissão/Agenciamentos de Cosseguro Aceito;2;1;2;12512902;125129022;1
1252;DESPESAS DE RESSEGURO DIFERIDAS;1;1;2;125;1252;1
12521;PRÊMIO DE RESSEGURO DIFERIDO COM PLANOS DE ASSISTÊNCIA MÉDICO-HOSPITALAR;1;1;2;1252;12521;1
125219;Prêmio de Resseguro Diferido com Planos de Assistência Médico-Hospitalar;1;1;2;12521;125219;1
