BH7_CODIGO;BH7_DESCRI
791;Sessão de Acupuntura
792;Serviço de Anestesiologia
793;Angiologia
794;Cardiologia
795;Cirurgia da Mão
796;Cirurgia de Cabeça e Pescoço
797;Cirurgia do Aparelho Digestivo
798;Cirurgia Geral
799;Cirurgia Oncológica
800;Cirurgia Pediátrica
801;Cirurgia Plástica
802;Cirurgia Vascular
803;Medicina Física e Reabilitação
804;Neurocirurgia
805;Oftalmologia
806;Oncologia Clínica
807;Ortopedia e Traumatologia
808;Otorrinolaringologia
809;Pediatria
810;Pneumologia
811;Psiquiatria Adulto
812;Psiquiatria Infância e Adolescência
813;Radioterapia Pediátrica
814;Consulta em Radioterapia
815;Consulta em Alergia e Imunologia Pediátrica
816;Angiorradiologia
817;Cardiologia Pediátrica
818;Consulta em Cardiologia Pediátrica
819;Cirurgia Bariátrica
820;Consulta em Cirurgia Crânio-Maxilo-Facial
821;Cirurgia Videolaparoscópica
822;Consulta em Ecocardiografia
823;Consulta em Gastroenterologia Pediátrica
824;Consulta em Hansenologia
825;Consulta em Hematologia e Hemoterapia Pediátrica
826;Consulta em Hemodinâmica e Cardiologia Intervencionista
827;Consulta em Infectologia Pediátrica
828;Consulta em Medicina do Adolescente
829;Consulta em Medicina do Sono
830;Consulta em Medicina Fetal
831;Consulta em Medicina Paliativa
832;Consulta em Nefrologia Pediátrica
833;Consulta em Neonatologia
834;Neonatologia
835;Serviço de Neurologia Pediátrica Clínica
836;Serviço de Neurologia Pediátrica Cirurgica
837;Consulta em Neurologia Pediátrica
838;Consulta em Neurorradiologia
839;Neurorradiologia
840;Consulta em Nutrologia Pediátrica
841;Oncologia Pediátrica
842;Consulta em Pneumologia Pediátrica
843;Consulta em Psicogeriatria
844;Consulta em Psiquiatria da Infância e Adolescência
845;Consulta em Angiorradiologia e Cirurgia Endovascular
846;Cirurgia Endovascular
847;Radiologia Intervencionista
848;Consulta em Reumatologia Pediátrica
849;Cintilografia do Miocárdio
850;Cintilografia Óssea (Corpo Total)
851;Cintilografia Renal Dinâmica
852;Cintilografia Renal Estática (Qualitativa ou Quantitativa)
853;Cintilografia da Tireóide
854;Cintilografia das Paratireóides
855;Cintilografia para pesquisa de Refluxo Gastro-Esofágico
856;Cintilografia Pulmonar
857;Cintilografia com Mibg (Metaiodobenzilguanidina)
858;Cintilografia do Fígado e Vias Biliares
859;Cintilografia com Gálio-67
860;Cintilografia de Mama(Bilateral)
861;Cintilografia de Perfusão Cerebral
862;Cintilografia Cerebral
863;Raio-X
864;Laserterapia para o Tratamento da Musocite Oral/Orofaringe
865;Tilt-Teste
866;Pletismografia
867;Deglutograma
868;Bioimpedanciometria
869;Angiotomografia
870;Cintilografia
871;Cirurgia Cardiovascular Adulto
872;Cirurgia Cardiovascular Pediátrica
873;Clínica Médica
874;Ecoendoscopoa
875;Fisioterapia Pélvica
876;Fisioterapia Oncológica
877;Geriatria
878;Hemodiálise Pediátrica
879;Hemodinâmica e Cardiologia Intervencionista Adulto
880;Hemodinâmica e Cardiologia Intervencionista Pediátrica
881;Investigação e Cirurgia de Epilepsia
882;Neurocirurgia Vascular
883;Tomografia de Coerência Óptica - OCT
884;PET Scan / PET-CT
885;Cirugia Endovascular Extracardiaca
886;Quimioterapia Pediátrica
887;Angiorressonância Magnética
888;Internação em UTI de Queimados
889;Ecodopplercardiograma Fetal
890;Ultrassonografia de Abdome
891;Ultrassonografia Aparelho urinário(rins, ureteres e bexiga)
892;Ultrassonografia Articular (por articulação)
893;Ultrassonografia Crânio
894;Ultrassonografia Crânio para criança
895;Ecodoppler Venoso
896;Ecodopplercardiograma
897;Ultrassonografia Globo ocular
898;Ultrassonografia Mamas
899;Ultrassonografia Obstétrica
900;Ultrassonografia Obstétrica com translucência nucal
901;Ultrassonografia Obstétrica morfológica
902;Ultrassonografia Obstétrica Perfil Biofísico Fetal
903;Ultrassonografia Próstata
904;Ultrassonografia Transvaginal
905;Ecocardiograma
906;Análises Clínicas Biologia Molecular
907;Análises Clínicas Bioquímica
908;Análises Clínicas Coprologia
909;Análises Clínicas Endocrinologia Laboratorial
910;Análises Clínicas Genética Bioquímica
911;Análises Clínicas Hematologia
912;Análises Clínicas Imunologia
913;Análises Clínicas Líquidos
914;Análises Clínicas Microbiologia
915;Análises Clínicas toxicologia / Monitorização Terapêutica
916;Análises Clínicas Urinálise
917;Angiografia Radioisotópica
918;Cintilografia do Fígado e do Baço
919;Cintilografia do Sistema Retículo-Endotelial(Medula Óssea)
920;Cintilografia Testicular (Escrotal)
921;Cisternocintilografia
922;Imunocintilografia
923;Linfocintilografia
924;Mielocintilografia
925;Ventrículo-Cintilografia
926;Cintilografia Sincronizada das Câmaras Cardíacas
927;Cistocintilografia
928;Serviço de Neurologia Adulto Clínico
929;Serviço de Neurologia Adulto Cirurgico
930;Injeção Intravétrea de Antiangiogênico
931;Impedanciometria - Timpanometria
932;Processamento Auditivo Central Infantil
933;Processamento Auditivo Central Adulto
934;Nasofibrolaringoscopia para Diagnóstico e/ou Biópsia
935;Vídeo-laringo-estroboscopia
936;Vídeo-faringo-laringoscopia
937;Potencial Evocado Auditivo (PEA-TC/BERA)
938;Testes Vestibulares
939;Pronto-Socorro Cardiovascular
940;Pronto-Socorro Neurologia/Neurocirurgia
941;Pronto-Socorro Traumato Ortopédico
943;Reabilitação Labiríntica
944;Fisioterapia nas Disfunções decorrentes de Queimaduras
945;Fisioterapia nas Disfunções do Sistema Linfático e/ou Vascular Periférico
946;Fisioterapia nas Disfunções Endocrino-metabólicas
947;Avaliação Neuropsicológica - Terapias para Transtornos Globais de Desenvolvimento
948;Avaliação Neuropsicológica
949;Psicomotricidade - Terapias para Transtornos Globais de Desenvolvimento
950;Metodo Denver - Terapias para Transtornos Globais de Desenvolvimento
951;Integração Social - Terapias para Transtornos Globais de Desenvolvimento
952;Psicopedagogia - Terapias para Transtornos Globais de Desenvolvimento
953;Psicologia - Terapias para Transtornos Globais de Desenvolvimento
954;Fonoaudiologia - Terapias para Transtornos Globais de Desenvolvimento
955;Terapia Ocupacional - Terapias para Transtornos Globais de Desenvolvimento
956;Fisioterapia - Terapias para Transtornos Globais de Desenvolvimento
957;Musicoterapia - Terapias para Transtornos Globais de Desenvolvimento
958;Aromaterapia - Terapias para Transtornos Globais de Desenvolvimento
959;Arteterapia - Terapias para Transtornos Globais de Desenvolvimento
960;Massoterapia - Terapias para Transtornos Globais de Desenvolvimento
961;Terapia de Florais - Terapias para Transtornos Globais de Desenvolvimento
962;Cromoterapia - Terapias para Transtornos Globais de Desenvolvimento
963;Reflexoterapia - Terapias para Transtornos Globais de Desenvolvimento
964;Eletro-Oculografia
965;Eletro-Retinografia
966;Oftalmodinamometria
967;Biometria Ultrassônica
968;Potencial Evocado Visual(PEV)
969;Potencial Evocado Somato-Sensitivo(PESS)
970;Oncologia Cirurgica
971;Internação Psiquiatrica
972;Internação Obstétrica
973;Internação Pediátrica
974;Internação eletiva
975;Internação de Urgência e Emergência
