BJ2_CODIGO;BJ2_ORDEM;BJ2_ALIAS;BJ2_DESCRI;BJ2_TIPO;BJ2_USO;BJ2_BFILT;BJ2_EXPF;BJ2_APLREJ;BJ2_EXPREF
104;03;BGW;Prodt.XProdut Rela x Desconto;1;2;1;{|NLINE,ACOLS,AHEADER| OBRWBBX:FIELDGET('BBX_CODFAI',OBRWBBX:LINHA(),OBRWBBX:AHEADER) == ACOLS[NLINE,GDFIELDPOS('BGW_CODFAI',AHEADER)] };;
104;02;BG0;;1;3;1;{|NLINE,ACOLS,AHEADER| OBRWBBY:FIELDGET('BBY_CODFAI',OBRWBBY:LINHA(),OBRWBBY:AHEADER) == ACOLS[NLINE,GDFIELDPOS('BG0_CODFAI',AHEADER)] };;
106;01;BB3;Faixa Etaria dos Produtos;1;1;0;;1;
106;02;BFS;Faixas Etarias X Descontos;1;1;1;{|NLINE,ACOLS,AHEADER| OBRWBB3:FIELDGET('BB3_CODFAI',OBRWBB3:LINHA(),OBRWBB3:AHEADER) == ACOLS[NLINE,GDFIELDPOS('BFS_CODFAI',AHEADER)] };;
106;02;BTN;Faixa Etaria Grupo Beneficiari;1;2;1;{|NLINE,ACOLS,AHEADER| PL660FILBTN(ACOLS, AHEADER, NLINE)};;
106;03;BFT;Faixas Etarias X Descontos Emp;1;2;1;{|NLINE,ACOLS,AHEADER| OBRWBTN:FIELDGET('BTN_CODFAI',OBRWBTN:LINHA(),OBRWBTN:AHEADER) == ACOLS[NLINE,GDFIELDPOS('BFT_CODFAI',AHEADER)] };;
106;01;BBU;Faixa Etaria X Forma X Familia;1;3;0;;;
106;02;BFY;Forma x Familia x Desconto;1;3;1;{|NLINE,ACOLS,AHEADER| OBRWBBU:FIELDGET('BBU_CODFAI',OBRWBBU:LINHA(),OBRWBBU:AHEADER) == ACOLS[NLINE,GDFIELDPOS('BFY_CODFAI',AHEADER)] };;
108;01;B1A;Mens.Faixa Salarial Produto;1;1;0;;0;
108;02;B1B;Mens.Faixa Salarial Subcont.;1;2;0;;;
108;01;B1C;Mens.Faixa Salarial Familia;1;3;0;;;
