CTT_CUSTO;CTT_CLASSE;CTT_DESC01;CTT_BLOQ;CTT_DTEXIS;CTT_CCLP;CTT_RES;CTT_CUSTO1;CTT_CUSTO2;CTT_CODMUN
2057;2;REPOUSO MEDICO PS;1;19800101;9102030402022;2057;2057;9102030402022;0
2058;2;UNIDADE DE INTERNACAO 3B;2;19800101;9102030402025;2058;2058;9102030402025;0
2059;2;ULTRASONOGRAFIA;2;19800101;9102030402013;2059;2059;9102030402013;0
2060;2;TOMOGRAFIA;2;19800101;9102030402014;2060;2060;9102030402014;0
2061;2;RAIO X - SERV. PROPRIO;2;19800101;9102030402015;2061;2061;9102030402015;0
2062;2;RECEPCAO CENTRO DE DIAGNOSTICO;2;19800101;9102030402023;2062;2062;9102030402023;0
2064;2;REPOUSO SOS;1;19800101;9102030402024;2064;2064;9102030402024;0
2065;2;SISTEMA HOSPITALAR MV;1;19800101;2065;2065;;;0
2066;2;DIRETOR DE REC. PROPRIOS;2;19800101;2066;2066;2066;2066;0
2067;2;DIRETORIA CLINICA;2;19800101;2067;2067;2067;2067;0
2068;2;SUPERVISAO DE ENFERMAGEM;2;19800101;;2068;2068;2068;0
2069;2;SUPERVISAO RELACIONAMENTO COM CLIENTE;2;19800101;2069;2069;2069;2069;0
2070;2;SUPERVISAO ADMINISTRATIVA;2;19800101;2070;2070;2070;2070;0
2071;2;CENTRAL DE GUIAS;2;12/01/2006;2071;2071;2071;2071;0
2072;2;TEC. INFORMACAO;2;19800101;2072;2072;2072;2072;0
2080;2;RATEIO CADASTRO;2;19800101;2080;2080;;;0
2081;2;NUCLEO DE DESENVOLVIMENTO HUMANO;2;19800101;2081;2081;;;0
2082;2;RATEIO CONTROLADORIA;1;19800101;2082;;;;0
2083;2;RATEIO CONTABILIDADE E TRIBUTOS;2;19800101;2083;2083;;;0
2084;2;RATEIO CONTROLE PATRIMONIAL;2;19800101;2084;2084;;;0
2085;2;RATEIO FINANCEIRO;2;19800101;2085;2085;;;0
2086;2;RATEIO COMPRAS;2;19800101;2086;2086;;;0
2087;2;RATEIO GER. ADM FINANCEIRA;2;19800101;2087;2087;;;0
2088;2;RATEIO ADM DE PESSOAL E BENEFICIOS;2;19800101;2088;2088;;;0
2089;2;RATEIO ALMOXARIFADO;2;19800101;2089;2089;;;0
2090;2;NUCLEO DA QUALIDADE;2;19800101;2090;2090;;;0
2091;2;SERVICO SOCIAL;2;19800101;2091;2091;;;0
2092;2;INTERMEDIARIA;2;19800101;2092;2092;;;0
2094;2;PSICOLOGIA;2;19800101;2094;2094;2094;2094;0
2095;2;ANEXO ADMINISTRATIVO;2;19800101;2095;2095;2095;2095;0
2096;2;PRONTO SOCORRO INFANTIL;2;19800101;2096;2096;2096;2096;0
2097;2;RECEPCAO CENTRAL;2;19800101;2097;2097;;;0
2098;2;AUDITORIA MEDICA;2;09/01/2011;2098;2098;;;0
2099;2;CONST NOVO HOSPITAL UNIMED;2;19800101;2099;2099;;;0
2100;2;SALA DE GASTROENTEROLOGIA;2;19800101;2100;2100;2100;;0
2101;2;PRONTO ATENDIMENTO GUACUI;2;19800101;2101;2101;2101;;0
2104;2;NOVOS RECURSOS PROPRIOS;2;19800101;2104;2104;;;0
2106;2;TIME DE RESPOSTA RAPIDA;2;19800101;2106;2106;;;0
2107;2;ONCOLOGIA;2;19800101;2107;2107;;;0
2108;2;POSTO DE COLETA DO LABORATORIO;2;19800101;2108;;;; 
2109;2;SUPERVISAO DE SERVICOS DE SAUDE;2;19800101;2109;;;; 
2110;2;CDI SUL SERRANO;2;19800101;2110;2110;;; 
3001;2;HOSPITAL DIA;1;19800101;9102040103001;3001;3001;9102040103001;0
3002;2;AREA COMUM;2;19800101;9102040103002;3002;3002;9102040103002;0
3004;2;RECEPCAO;2;19800101;9102040102001;3004;3004;9102040102001;0
3005;2;HIGIENIZACAO;2;19800101;9102040102002;3005;3005;9102040102002;0
3006;2;FARMACIA CENTRO CIRURGICO;2;19800101;9102040102003;3006;3006;9102040102003;0
3007;2;ESTERILIZACAO;1;19800101;9102040102004;3007;3007;9102040102004;0
3008;2;DISTRIBUICAO E COLETA DE ROUPAS;2;19800101;9102040102005;3008;3008;9102040102005;0
3009;2;NUTRICAO E DIETETICA;2;19800101;9102040102006;3009;3009;9102040102006;0
3010;2;GERADOR;2;19800101;9102040102007;3010;3010;9102040102007;0
3011;2;CENTRAL DE GASES MEDICINAIS;2;19800101;9102040102008;3011;3011;9102040102008;0
3012;2;UNIDADE DE INTERNACAO;2;19800101;9102040101001;3012;3012;9102040101001;0
3013;2;CENTRO CIRURGICO;2;19800101;9102040101002;3013;3013;9102040101002;0
3014;2;PEQUENAS CIRURGIAS;1;19800101;9102040101003;3014;3014;9102040101003;0
9001;2;COORDENACAO DE FATURAMENTO;1;19800101;9102020203004;313;9001;9102020203004;0
9002;2;O.Q.S;1;19800101;9102020204001;365;9002;9102020204001;0
9003;2;CONTABILIDADE DE CUSTOS;1;19800101;9102030407002;916;9003;9102020502002;0
9004;2;COORD. DE CONTABILIDADE;1;19800101;9102020502003;891;9004;9102020502003;0
9005;2;SERVICOS TERCEIRIZADOS;1;19800101;9102030401019;122708;9005;9102030401019;0
9006;2;GESTAO DE PESSOAL;1;19800101;9102030406001;1838;9006;9102030406001;0
9007;2;CONTABILIDADE;1;19800101;9102030407001;1844;9007;9102030407002;0
9008;2;CONTABILIDADE DE CUSTOS;1;19800101;9102020502002;1851;9008;9102030407002;0
9009;2;ASSESSORIA OPERACIONAL;1;19800101;9102010102002;1;9009;9102010102002;0
9010;2;AUDITORIA INTERNA;1;19800101;9102010103001;0002;9010;9102010103001;0
9011;2;COMITE EDUCATIVO;1;19800101;9102020202002;0003;9011;9102020202002;0
9012;2;COMITE ESPECIALIDADES;1;19800101;9102020202003;0004;9012;9102020202003;0
9013;2;ACOMPANHAMENTO DE PLANOS DE ALTO CUSTO;1;19800101;9102020202004;0005;9013;9102020202004;0
9014;2;ATUARIA;1;19800101;9102020305002;4777;9014;9102020305001;0
9015;2;DEPARTAMENTO DE PESSOAL;1;19800101;9102020401002;0007;9015;9102020401002;0
9016;2;LIMPEZA;1;19800101;9102020402003;0009;9016;9102020402003;0
9017;2;HOME CARE;1;19800101;9102020601001;00011;9017;9102020601001;0
9019;2;FARMACIA;1;19800101;9102030401003;00012;9019;9102030401003;0
9020;2;NUTRICAO E DIETETICA;1;19800101;9102030401004;00013;9020;9102030401004;0
9022;2;FINANCEIRO;1;19800101;9102030401009;121407;9022;9102030401009;0
9023;2;PATRIMONIO;1;19800101;9102030401010;121399;9023;9102030401010;0
9024;2;ALMOXARIFADO;1;19800101;9102030401011;121420;9024;9102030401011;0
9025;2;CENTRO DE ATIV. AMBULANCIA CONVENCIONAL;1;19800101;9102030402011;00016;9025;9102030402011;0
9026;2;PEQUENAS CIRURGIAS;1;19800101;9102030402017;00017;9026;9102030402017;0
9027;2;OBRA HOSPITALAR;1;19800101;9102030404005;00015;9027;9102030404005;0
9028;2;LAVANDERIA;1;19800101;9102030405005;00018;9028;9102030405005;0
9029;2;COMPRAS;1;19800101;9102030401012;121413;9029;9102030401012;0
9030;2;MANUTENCAO DE P.O.S. / IMPRESSORA;1;19800101;9102020404002;00010;9030;9102020404002;0
9031;2;GESTAO DE QUALIDADE;1;19800101;9102020202005;0006;9031;9102020202005;0
9032;2;CENTRO DE CUSTO GENERICO;2;19800101;99991;99991;;;0
9033;2;AUTONOMOS;2;19800101;99999;;99999;99999;0
9034;2;CENTRO DE CUSTO APURACAO DE RESULTADO;2;19800101;999999;999999;999999;; 
